NEUT0|"""Hello and welcome to today's technical analysis for November 19th, 2014."
NEUT1|I'm Celina, Nicholas technical analyst at xm.com.
NEUT2|Today we will look at pound dollar on the daily chart.
BEAR3|Gbpusd has been in a downtrend since July 15th this year when it hit a six year high of one point 7190.
BEAR4|It has been making lower highs and lower lows since then.
NEUT5|As can be seen on the daily chart the bearish.
BULL6|Market structure is being supported by the fact that prices are below HMO cloud.
BEAR7|Also the tank on Sennenki jinsan lines falling in our end or negatively aligned daily momentum is negative but is approaching oversold levels.
BEAR8|The stochastic is also an oversold territory, therefore cautioning of possible consolidation in prices and he bounced upwards would be kept by resistance at the 61.8 fibbonaci level.
NEUT9|This comes in at one point, 5721.
NEUT10|This this 61.8 fibbonaci retracement level is from the up leg of the July 2013 low up to the July 15th high.
BULL11|Now to the downside, we can see that support will come in at the 78.6% Fitbit Nachi level and this is at one point 5321.
BULL12|"Thank you for watching and have a great day."""
