NEUT0|"""Guys like I talked about Gevo in one of my videos yesterday."
NEUT1|I really love stocks like this in companies like this.
NEUT2|It just makes it about the future and the future of you know us having a little bit of enjoyment.
NEUT3|If you know what I'm saying yo.
NEUT4|What is up everyone?
NEUT5|It's your voice, even from Marky craze trading.
BULL6|I hope everyone is having a great day today.
NEUT7|If you're new around here welcome to the channel.
NEUT8|If you're returning member welcome back.
NEUT9|Alright guys, so I'm going to be talking bout sundial growers.
NEUT10|I think that's how you say their name.
NEUT11|But anyway, I'm going to be talking about those guys.
NEUT12|I think that they're a great company and they make me very ambitious about the future.
NEUT13|Like I said, but before I get into that, if you guys do enjoy stock market videos and want daily stock market predictions and updates, make sure slap a subscribe internal post notifications and leave a like on the video.
BULL14|That would be much appreciated.
NEUT15|So in today's video we're going to be talking about sundial growers.
NEUT16|Ticker symbol SN DL, the Sundial growers SMDL was kind of one of the stocks that was kind of targeted by Wall Street bets.
NEUT17|Which I mean, I don't mean targeted in a bad way by any means, but you know that is pretty much what it was.
NEUT18|It was targeting stocks.
BULL19|So sundial growers, because of that grew a lot within the last couple of weeks.
BULL20|But I think Sundial growers is going to benefit from the Wall Street bets targeting more than other stocks.
NEUT21|And here's why.
NEUT22|Now we have a Democrat in office in the USA and the Democrats are really pushing for the legalization of a very interesting herb is all.
NEUT23|I'm going to leave it at and I'm sure you guys know what I'm talking about.
NEUT24|If you're watching a sundial growers video.
BULL25|So with that being said, I think Sundial growers will benefit from this.
NEUT26|If Biden is pushing to kind of get this fun interesting herb you know out there and legalize, sorry, but I know, I'm sure you guys understand where I'm coming from with the whole YouTube guidelines thing.
NEUT27|Can't talk about things like that in a manner that I'd like to.
NEUT28|Companies like AMC and GameStop, Nokia, BlackBerry, all these other companies aren't really changing the game.
NEUT29|I guess Nokia a little bit with their 5G technology, but everyone else not really.
NEUT30|But sundial growers is doing something completely new and different.
NEUT31|Whereas all these other companies are just doing the same thing that they've been doing for over 50 thirty 40 years.
NEUT32|Whatever it is, they've been doing the same thing.
BULL33|So sundial growers, I think, is going to benefit very nicely because that industry isn't even to a level that it could be.
NEUT34|You know, because it's not 100% legal everywhere.
BULL35|I honestly think within the next month or two, sunel growers could seriously 10X, and I think by tomorrow we could be seeing some Dell growers.
NEUT36|At around I don't know.
BULL37|I would say 1.25 because it is going up pretty nicely every single day.
NEUT38|It is down a little bit today, but you know that's just how it is with any stock.
NEUT39|Don't get scared about that guys.
NEUT40|I mean I'm not a financial advisor but I would not sell but I would like to know what you guys think about sundial growers in the comment section below.
NEUT41|Are you guys holding?
NEUT42|Did you guys sell already after the whole GameStop AMC craze already kind of died over?
NEUT43|I would really appreciate if you guys slept like comment and subscribe.
NEUT44|Turn on post notifications on this video if you guys want to be part of the Discord server, make sure to check out the link in the description below.
NEUT45|I have a Patreon where it's only about $5 a month and you can join the discord.
BULL46|"I hope you guys have an amazing rest your day peace."""
