NEUT0|"""Do you have a nicer the ISA or individual savings account?"
NEUT1|Is Britain's most popular way of saving and investing.
NEUT2|We have put billions of pounds into these accounts and the main attraction is you don't have to pay tax on any gains and you're allowed to pay in just over £15,000 a year, rising to 20,000 from next April.
NEUT3|But do you have a stocks and shares isa?
NEUT4|Yeah, most people are much more likely to have a cash ISA even though rates of interest and out all time lows.
NEUT5|The average rates on an easy access cash.
NEUT6|ISA is now less than 1% according to Moneyfacts, although 10 years ago savers enjoyed rates of over 5% now with the cash I see you do not pay tax on any interest, but when interest is so measly, that's not of much use.
NEUT7|Now with the stocks and shares ISA, you have two ways to make money and you don't have to pay tax on either of them.
NEUT8|Firstly, if the value of your shares rise known as the capital gain and Secondly on your dividend income.
NEUT9|So why don't more people have a stocks and shares isa?
BEAR10|Well, because markets can go down.
NEUT11|As well as up and many savers and naturally scared of taking risk and losing money.
NEUT12|But if you're saving or investing for the long term more than five years, you would hope that the passage of time would smooth out any lumps and bumps, and you don't need to be an expert investment.
NEUT13|Experts know experience investors can pick individual shares in companies that they think have good prospects, but the less experience can pick a fund run by a professional stock picker who cheeses specific stocks and shares, although they will charge you a fee.
NEUT14|Or you could pick a low cost tracker fund which follows an index such as the Footsie 100.
NEUT15|Or S&P 500, you get exposure to hundreds of companies.
NEUT16|You get the average performance of the index and the fees are lower.
NEUT17|And how can I start a stocks and shares ISA?
NEUT18|Most High Street banks will be able to help you set up a simple stocks and shares ISA investing in funds and trackers.
NEUT19|If you want to invest in individual shares and plan on trading regular, you're a bit of an expert than an investment platform might suit you better.
BULL20|Hargreaves Lansdown Fidelity Best investor, three of the biggest.
NEUT21|Although fees apply.
NEUT22|If you want someone to pick your funds for you according to your appetite for.
NEUT23|Risk then these knew Internet based Robo advisors such as nutmeg for money farm or another cheaper way of doing it.
NEUT24|And now an app is launching.
NEUT25|Called Money Box enables you to set up a stocks and shares isa on your smartphone in a matter of minutes with a minimum investment of just one pound.
NEUT26|Well, there's no excuse to read more about how you can set up a stocks and shares ISA that works for you.
NEUT27|"Visitft.com/buy Sir."""
