NEUT0|"""Hello everyone, welcome back to another episode of I question Lunch Talk."
NEUT1|Of course, once again, if you guys are life with me just to take the check just pop by say hello and ask any questions along the way.
NEUT2|If any day and if you guys have any any questions just popping in chat right?
NEUT3|Just pop by and say hello?
NEUT4|OK so today we're going to talk a lot, talk a lot into this whole concept of cash.
NEUT5|Overvaluation, so before I begin, let me expand it a bit.
NEUT6|What US cash over valuation means so catch overvaluation.
NEUT7|Jess means that if you were to buy a property in this offer at, let's say $600,000, and the very same come valuation come back, let's say $500,000.
NEUT8|Basically what happens over here is that you need to top up the difference or 100 / 1000, 'cause when you talk about loan in terms of loan, no matter what Bank so deeply or banks or even he should be basically only lend you, let's say.
NEUT9|75% of all he should be going up to 90% up to valuation.
NEUT10|So in this sense in this scenario this is Moore's currently seen in the HDB space rather than private property space and explain them you a little bit more in detail.
NEUT11|When I move forward.
NEUT12|Yeah, so cash flow valuation as I mentioned is a lot more weight or cancellation.
NEUT13|Usually most of us are we talking about in the head should be spaced out OK and the key here is that you know what this news and it came out is that cash over valuation is once again spot like.
NEUT14|So let's explore that.
BULL15|This really mean for you guys as well.
BEAR16|So this article published on 4th April OK And basically saying that cash flow valuations back becauses rising of rising property demands drive resale prices up.
NEUT17|So along I think let me pull out, pull with you guys a few of the key point is that I'm going to discuss these few key pointers as well.
NEUT18|So one of the reason why they mentioned that.
NEUT19|Body visual public prices.
NEUT20|Continuity going up is due to a few reasons.
NEUT21|One reason is because of the fact that BTO got through the construction delays and I think the pandemic subete O construction phase now is getting longer and longer, so it used to be perhaps for years within time.
BEAR22|So coming now, the last data is around 5:00 to 6:00, so pretty much been delayed for a minimum of nine months and in my even deley longer as long as the pandemic persists because they still have to do work on safety sensing and so basically the indignation put lesser men.
BEAR23|I will, in a construction site, which means that it will be delayed because of these homebuyers.
NEUT24|Then basically would not want to wait so long for a video and therefore the chicken down to the resale market to then actually buy.
NEUT25|OK, I'll call the second factor, which here is that this occurred due to fear.
NEUT26|Ensure that property price for contumacy go up, so we are looking through this article.
NEUT27|I saw this one bottle case study is that this 66 year old retiree right exists so prices go up tremendously.
BEAR28|When he taught that actually prizes who actually draw instead during the pandemic, which is most of our reaction because doing any form of crisis we expect any form of asset to drop due to fear in the market.
NEUT29|However, the what happened was that the reverse happened, right?
NEUT30|So why was this retiree end up saying that you know instead of getting a discount, he actually paid $160,000 Cash Cash over valuation for his particular property in passeri, so it's actually participate $650,000.
NEUT31|Witches of above cash use of above elevation by $160,000.
NEUT32|So you do the math accordingly by revolution is $490,000.
NEUT33|That means he bought it for 50 committed by safety $1000 and he actually then this extra 160 grand.
NEUT34|Now as an investor let's look at it as an investor point of view.
NEUT35|Yeah's home by a point where you can do whatever you want.
NEUT36|I mean I mean I mean attendees or money.
NEUT37|You want to spend the way you want to do it?
NEUT38|I mean, you're retiring.
NEUT39|66 is all that's fine.
BULL40|Good for you.
NEUT41|Enjoy the home, beautiful Seaview and and then that can be a very nice retirement home.
NEUT42|However, we remember guys, I called you all about being an investor in making sure our money work very hard for us and as an investor, what kind?
NEUT43|What is my thoughts on this particular move so you think about it guys and $650,000 for pessaries HDB Seaview?
NEUT44|Even going to do random propertyguru searching passers for most of the executive condominiums over there.
NEUT45|That is now there is now past MLP, most of the two data entry beta.
NEUT46|Condos obviously the easys over there is only costing you only cost about 700 + K to educate each and most of those easy, because just for the fact that they possibly say many of the buildings are there.
NEUT47|So yeah, the the middle upper floor assume there's some former unblock view you tend to have at least a partial Seaview of oh OK, but at least partial Seaview itself.
NEUT48|So I think about you guys, seven, $50,000 for HDB valuation really comes back to you and say that you know it's only worth $49,000, but yet still choose appear.
NEUT49|Cash or villager $160,000, which means that you think will you stop up just a little bit more.
NEUT50|You able to go private and therefore you think about it.
NEUT51|I mean, as an investor will go for the easy over this, HDB anytime.
NEUT52|I'll still get and not to mention that I still get the facilities and everything that moves.
NEUT53|Condominiums get.
NEUT54|So in this scenario as a investment itself, I will have to read it like 0 out of 10, right?
NEUT55|Because at the home buyer I mean whatever, as long as you're happy that's fine.
NEUT56|OK, so the keyword here is, that is it.
NEUT57|Wolf even paying cash over valuation.
NEUT58|My thought process is this.
NEUT59|No, my thought is that it's never worth it to pay cash over valuation.
NEUT60|At most you want concept being cash over valuation, maybe 10,000 best because the logic is this because if you are able to come up with so much cash over valuation you think about it guys you have so much character overcame overvaluation.
NEUT61|The buy into a property you requires, you can get 75% loan or 25% down payment, which means that all which if you have really been working consistently.
NEUT62|Last I see, 15 years, 1015 years.
NEUT63|So you have accumulated X amount of CPF, especially if your husband and wife people has always been working.
NEUT64|So now, in this scenario, think about it guys.
NEUT65|The test is needed to buy a property.
NEUT66|In this scenario, will only be 5% and therefore, and therefore for people who are able to come out so much cash to buy HDB by writer.
BULL67|I would also be pretty confident that this type of poor bias will also be able to easily afford private property where we are not ready very limited.
NEUT68|Into this whole concept of valuation not matching in terms of what the purchase price is to be so this is something that is happening very heavily more into his should be space, but I wanted you guys you want to put it out.
NEUT69|There is button for a good reason over here.
NEUT70|Why is it funny?
NEUT71|Good reason 'cause if you price keep going higher and higher higher just becomes very very pretty much less affordable for our next generation to purchase right?
NEUT72|So in this scenario until money is a good thing for it to.
NEUT73|Medication to constantly be, you know, we control certain extent by the government so that housing stays affordable.
NEUT74|So in that scenario, if you think about it for that context right then, of course I said investor as a home buyer is great by the investor, then that might not be the most profitable route for you.
