NEUT0|"""The intrinsic value of alphabet is range between $86.44 per share and $341.83 per share."
NEUT1|How are those values calculated?
NEUT2|Paying $86.44 per share represents the company's cash for every share issued and outstanding.
NEUT3|They have $86.44 in cash and cash equivalents.
NEUT4|Paying $341.83 per share represents a company's price per share based on its earnings.
NEUT5|A price of $341.83 per share represents the fractional payment for the company's next 20 years of median historical earnings.
NEUT6|How conservative way to value a company using future earnings, which slightly differs from the result, should get by calculating the price to earnings ratio.
NEUT7|Now what are they trading at today?
NEUT8|Alphabet is currently trading at a price of $1616.11 per share.
BEAR9|Huge did affect the price falls far beyond the upper bound of the company's intrinsic value.
NEUT10|It would be reasonable to assume that the stock is currently overpriced.
BULL11|Your next step would be to find a better price investment vehicle, which can gain a similar return with similar risk, all while maintaining safety of principle with an ample margin of safety.
NEUT12|For the defensive investor, low Cost index fund satisfies the aforementioned investment vehicle characteristics.
NEUT13|So the Vanguard 500 index fund is the same fund Warren Buffett used in his famous 10 year bet that he won against the hedge fund industry.
NEUT14|Until we're able to find the stock which passes the scrutiny required to the analysis prescribed by Benjamin Graham and the value investing community as a whole.
NEUT15|This investment vehicle should suffice, and specifically the Vanguard 500 Index Fund serves as a prudent investment alternative to alphabet until the company stock trades below a price of $341.83 per share.
NEUT16|So guys join our value investing community here on YouTube by subscribing to my channel so you can continue to gain insight on how to analyze business performance so that your investment performance is optimized.
NEUT17|"Remember when your investment performance is optimized so as you well production, I'll see you in the next video value investors."""
