NEUT0|"""Neo stock analysis and predictions, February 14th."
NEUT1|In today's NEO stock analysis and predictions, huge catalyst for Neo.
NEUT2|Alright, let's get started.
NEUT3|The era of smart cars is upon us as global commercialization of smart cars and autonomous driving accelerates.
BULL4|In 2020, CIT IC Securities said specifically this can be seen in the case of NEO and its rapid increase of sales and deliveries from 2020 until now, analysts anticipate that Neo will take 45% of the Chinese EV market.
BULL5|In the next five years to 8 years this mean an increase of customer loyalty, gross profits and of course higher stock prices for the company.
BULL6|When looking at other companies we can see that Tesla achieved sales of about 500,000 units in 2020 and the combined annual sales of China's new car makers, Nio Lee Auto and explain Motors reach 100,000 units.
NEUT7|Si iti see securities analysts led by zooming Bo mentioned in a report today that in 2020 Tesla sales were 400 and 99,600 units.
BULL8|Up 36% year on year Anio sales grew 113% year on year to 43,700 units.
BULL9|Lee auto sales were up 32 times year on year to 32,600 units.
BULL10|Expense sales were up 112% year over year to 27,000 units.
BULL11|Tesla's market cap grows 7.8 times in 2020 and iOS rose 16.7 times.
BULL12|Lee Autos market cap grows up to 1.6 times after its IPO and expands rose up to 2.4 times.
BULL13|The sharp rise in market capitalization boosted the financing scale of related companies and accelerated the development of autonomous driving and smart electric industry chain CIT.
NEUT14|I see security said.
BULL15|In addition, the impact of COVID-19 demands of unmanned delivery vehicles, unmanned sanitation vehicles and others were released in 2020, which are believed by CTC Securities to accelerate the process of commercialization of autonomous driving Tesla as well as Neo has become the largest car company in the world in terms of market capitalization.
BULL16|Consecutive quarters of profitability.
NEUT17|Products that still have room for price reduction and its self-driving technology occupying the minds of users.
NEUT18|CIT IC Securities believes Neo sales are expected to reach 2.25 million units in 2025.
BULL19|With Lee Auto and expend planning to accelerate product launches and traditional car companies, such as BYD, Great Wall Motors and Gilly, also accelerating the development and launch of smart cars.
BULL20|CIT IC Securities expects market competition to intensify after 2022.
NEUT21|That's what's been happening this week in the world of NEO stock analysis and predictions.
NEUT22|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you in your business on the leading edge of NIO stocks and predictions.
NEUT23|If you enjoy this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL24|We'd really appreciate it.
NEUT25|Are you still watching and want more?
NEUT26|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
