BULL0|"""Hey everyone, and welcome back to another video."
NEUT1|So we're going to talk about Naked brand and we're going to discuss how pretty much naked brand has been dropping a lot of yes.
BEAR2|So now the market has been dropping in general, a lot of penny stocks have been dropping as well, so there's a little bit of a discount right now.
NEUT3|But before I continue, as if you want to know more about these hot penny stocks or hot stocks in general, guys drop a like subscribe and most importantly turn on those post notifications so he has to not miss out and you guys you know pretty much start making money.
NEUT4|Man, you know we have a lot of socks right here where we're making a lot of money.
NEUT5|So yes, do not want to miss out on that on top guys don't get restricted here on Robinhood.
NEUT6|Definitely open account here on Weibo.
NEUT7|You get a lot of cool stuff, a lot of perks, way more than Robin Hood and you get 4 free socks if you sign up using the link down below, you have to see for Facebook.
NEUT8|I got a free Facebook stock guys.
NEUT9|I get $30 socks.
NEUT10|You know every single day.
NEUT11|So I definitely encourage you guys to you know sign up using the link down below and I'm going to be giving away $50 to a random person that signs up and deposits $100 into their account.
BEAR12|So once again, the link is down below.
NEUT13|Sign up now.
NEUT14|Naked brand.
NEUT15|OK, you guys don't know what naked brand is.
NEUT16|No it is not the naked choose but it actually has to do with clothing.
NEUT17|OK so one thing you need to understand is right now it is current like around a dollar Ivy's Oh no.
NEUT18|We look at this for the past three months.
NEUT19|You see how slowly this stock started to go up very quickly.
BULL20|It was the Rick around $0.40 and then it just started boosting up all the way to a whole dollar.
NEUT21|Almost going up to $2.00 a month for my price predictions for this stock is eventually it can hit $2.00 in the future now.
NEUT22|Keep in mind a lot of these penny stocks is a long term investment.
NEUT23|OK, literally.
NEUT24|When I look back there was a lot of songs that were literally under a dollar.
NEUT25|Right now.
NEUT26|A lot of them like around 15 dollars, $20.00.
NEUT27|So it's crazy to see you know penny stocks like this grow, but I want to know down in the comments section below, what do you think about naked brand right now?
NEUT28|There aren't any news when it comes to naked brand.
BEAR29|That's the reason why this song is slowly starting to drop.
NEUT30|Eventually when we do get news, I will keep you guys updated on this hot stock, but let me know where is.
NEUT31|What are your opinions on this.
BULL32|Hope you guys enjoy.
NEUT33|If you do give it a big thumbs up.
NEUT34|Don't forget to claim your free socks on.
BULL35|"We both sign up deposit $100 and get a chance to possibly win $50 and I will see you guys on my next video."""
