NEUT0|"""Namaskar traders."
NEUT1|Let's talk about this stock.
NEUT2|Are you see by let me one digit and a Lotto.
NEUT3|Pratik Gicanda Lionetti Acre do such evil are held account yet so.
NEUT4|As you can see here.
NEUT5|Jicama teacher trendline Ahana.
NEUT6|He followed their Indian Oil Corporation.
NEUT7|Mother stock yeah level parenthese to analogous risk or to gallop around authority triscuit alright, So what does this mean?
BULL8|Well, it is possible that stock will regress again from here, but I think that it is possible this time IOC will give us a break out here.
NEUT9|OK, so circa he level Briggs alley.
NEUT10|Throw pillow coupes.
NEUT11|Angular virtual dishes are target miru shocked up.
NEUT12|A good upside movies possible here OK See.
NEUT13|From 11th of September 17, OK, they have a sooner trendline followed you.
BULL14|So it's a quite good move upside that I'm expecting.
NEUT15|So credit rate Coryza immediately.
NEUT16|Nitrator eyes are so chothia timeframe or automate program intention candle.
NEUT17|Lovely with a candle pendulum, intentional little back again on 15 minutes.
NEUT18|Candle.
NEUT19|As you can see, this channel plays happening right?
NEUT20|Stock Jeep Price Idea, channel Media move karate so yeah channels is your breakout.
NEUT21|Breakout willa.
NEUT22|They were Bella egg, good upside move your downside move but I think a move will happen upside only so it's only upside move middle OK. Ari Mark applier.
BEAR23|For Hillary assistance hassle, but the resistance level.
NEUT24|Honey do three.
NEUT25|You know it's over T he dynamic levels of the resistance.
NEUT26|The OK Cello so Cody entry Correggio Sema Decadi exit Karachi YA levels over teaser stock gala ether sustains holla turn up and take motor Target Go Shop 2018 rupees later.
NEUT27|OK, so that is certainly possible.
NEUT28|OK so intercooler pajapan right?
NEUT29|Wherever an exit kilobytes right wherever we need to keep.
BULL30|Booking partial profit as well magic I let us it's stock is moving up side OK as it is moving up side.
NEUT31|We are booking our profit 10% ten percent 10% every time until it reaches the you know the level.
NEUT32|Why are we doing that?
NEUT33|Let's say stock worth it's a lie and then it reverses.
NEUT34|It's OK if the stock reverses.
NEUT35|You know why?
BULL36|Because we're already booking a partial profit.
NEUT37|Right, so that is why it is necessary that we keep booking partial profits.
BEAR38|Could even trigger a chickadee exit, Karachi partial profits Cory Booker Alakazam.
NEUT39|So I'm sharing all the updates in this telegram channel trade with KAVI, so please feel free to join the channel if you want my.
NEUT40|If you want to be a part of the discussion in the live market, OK, so not just about individual stocks, but also about nifty bank nifty jindai seidner.
NEUT41|We're discussing that as well.
NEUT42|"OK, cello bear to put your video mother bye."""
