NEUT0|"""Cdtv.net dividend report is brought to you in part by 1M3 Corporation."
NEUT1|IT solutions for banking and finance.
NEUT2|Call them at 917-686-3485.
NEUT3|I'm John Hannah and here are the CD tv.net David and report for Wednesday, March 10, 2010.
NEUT4|Cdtv.net covers dividend paying stocks.
NEUT5|Earnings reports, dividend announcements and company profiles.
NEUT6|But first, here's today's city without.
NEUT7|Net.
NEUT8|Top stories.
BULL9|Abbott and pass it by a tech Corporation announced they definitely agreement for Abbott acquire Facet, enhancing Abbots early and mid stage pharmaceutical pipeline, but will acquire Facet for $27.00 per share in cash for a new transaction value of approximately $450 million.
BULL10|The acquisition brings access to biologics into therapeutic areas, immunology and oncology.
NEUT11|Abbott Laboratories engages in the discovery development.
NEUT12|Manufacture and sale of health care products worldwide.
BULL13|The Kroger Company reported $0.39 per diluted share, compared with $0.53 per diluted share last year.
NEUT14|Analysts average estimates were $0.34 per share.
BULL15|Groeger beat by 5 cents.
BEAR16|Net earnings for fourth quarter, which ended on January 30, 2010 total $255.4 million, compared with net earnings in the same period last year of $349.2 million.
NEUT17|The Kroger company, together with the subsidy Aries, operates as a food retailer in the United States.
NEUT18|And now the dividend report.
BULL19|Altria Group Incorporated Board of directors increase the companies regular quarterly dividend by 2.9% to $0.35 from $0.34 per common share.
NEUT20|The quarterly dividend is payable on April 9, two that holders of record as of March 15, 2010.
NEUT21|Ultra Group incorporated through its subsidiaries, engages in the manufacture and sale of cigarettes, wine and other tobacco products in the United States and internationally.
NEUT22|The Board of directors of Merck and Company Incorporated declared a quarterly dividend of $0.38 per share.
NEUT23|The payment will be made on April 7 to common stockholders of record at the close of business on March 15, 2010.
NEUT24|Merck and Co.
NEUT25|Incorporated engages in the research, development, manufacture and sale of medicine, vaccines, and consumer health and animal products worldwide.
BULL26|The Board of Directors of the Coca Cola Company approved the company's 48th consecutive annual dividend increase, raising the quarterly dividend approximately 7% from $0.41 to $0.44 per common share.
NEUT27|The first quarterly dividend is payable April 1st to share owners of record as of March 15, 2010.
NEUT28|The Coca Cola Company manufacturers distributes and markets non alcoholic beverage concentrates and syrups worldwide.
NEUT29|"For more information about these dividends an other announcements go to cdtv.net."""
