NEUT0|"""Neo stock analysis and predictions, November 13th."
BULL1|In today's NEO stock analysis and predictions, more gains expected for NEO stock.
NEUT2|Alright, let's get started.
BULL3|Neo stocks grew by almost 60% in two weeks, setting new all time highs nearly everyday.
BULL4|Neo stocks are rising again, hitting all time highs Neo rose more than 12% during Thursday's trading day.
BULL5|During the after market, shares gained another 1.5%, bringing the total gain in one day to more than 13.5%.
BULL6|The incredible rise in share price began last Monday.
BULL7|Since then, in less than two weeks, Neo shares are up almost 60%.
BEAR8|The primary trigger for this was the company's October results report.
BULL9|It reported a significant increase in the number of deliveries of electric vehicles in October, which was 100% compared to October last year.
BULL10|Besides, for the first time in its history, the company crossed the threshold of 5000, delivered electric vehicles per month.
BULL11|Analysts note the incredible momentum currently present in NEO stock.
NEUT12|According to one analyst.
NEUT13|NIO and its growth potential today are to say the least, incredible now, apparently an additional reason for the growth is the imminent release of the quarterly reports of the company Neo, scheduled for November 17th after the market close.
BULL14|The analyst also links this rapid growth with the imminent publication of the company's quarterly report and believes that its growth will continue at least until then.
BULL15|According to analyst from Growth Investment Bank, Neo has great earnings potential this week and next week I would expect more gains to come in the next few weeks.
NEUT16|$54.00 price is possible in Friday.
BEAR17|Growth investment Bank analyst state the rising stocks to $54.00 is likely at trading on Friday unless there is a serious collapse of the entire market.
BULL18|This means an increase of more than 12% relative to the price set at the after market.
NEUT19|However, as we have already seen for Neo, it is quite possible given today it is not the first day that the company's shares have been the focus of attention, both from retail investors and from large funds.
BULL20|This week traders recorded a $5 million purchase of Neo stock by a major investor, William Lee, CEO and founder of the company, is actively preparing to increase demand for the company's products.
BULL21|In October, he announced to the Chinese media that he intended to double the plants production capacity to 300,000 electric vehicles a year.
BULL22|Thereby doubling it by the end of 2021.
NEUT23|That's what's been happening this week in the world of NEO stock analysis and predictions.
NEUT24|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you in your business on the leading edge of NIO stocks and predictions.
NEUT25|If you enjoy this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL26|We'd really appreciate it.
NEUT27|Are you still watching and want more?
NEUT28|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
