NEUT0|"""Neo stock analysis and predictions, January 20th."
NEUT1|In today's NEO stock analysis and predictions, Anio begins construction of second plant.
NEUT2|Alright, let's get started.
NEUT3|An IO has just begun its construction of its second plant, which is in bidding stages right now.
NEUT4|Last year in December, and notice for clearing the land was issued for the plant.
BULL5|The half a public resource is exchange Center made her announcement Tuesday to recruit contractors for the construction of Nio's new vehicle Body Parts Project.
NEUT6|A construction manager announced.
BULL7|We are constructing a second plant Jack for NIO and the current production capacity is complete.
NEUT8|The contract price of the project is $54 million, with a planned construction period of 370 calendar days.
NEUT9|The construction layout is about 200 and 74,800 square meters.
NEUT10|It includes an area of 200 and 55,760 square meters.
NEUT11|For the renovation, final assembly, quality center, and 19,000 and 40 square meters for new material preparation.
NEUT12|Nio's cars are currently produced at a manufacturing base jointly built by the company and Jack.
NEUT13|Which started construction in October 2016 and will be officially opened in the second half of 2017.
NEUT14|An iOS current advanced manufacturing base users in order based production system with a capacity of 100,000 smart pure electric vehicles planned for two shifts.
NEUT15|NIO delivered a total of 7007 vehicles in December.
BULL16|This is the fifth consecutive month Nio broke record number of deliveries in a single month in all NIO delivered forty 3728 units in 2020, which is an increase of 112.6% year on year.
NEUT17|NIO launched its first all electric sedan, anyo, ET7 and A-150 kilowatt hours.
NEUT18|Solid state battery pack with a maximum range of over 1000 kilometres.
NEUT19|The model is available for pre order and deliveries will begin in the first quarter of 2022.
NEUT20|That's what's been happening this week in the world of NEO stock analysis and predictions.
NEUT21|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you in your business on the leading edge of NIO stocks and predictions.
NEUT22|If you enjoyed this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL23|We'd really appreciate it.
NEUT24|Are you still watching and want more?
NEUT25|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
