NEUT0|"""What's up YouTube?"
NEUT1|While she rose back out again with another stock interior, we talked about food TV.
NEUT2|Before we get into the video, can you guys make sure?
NEUT3|Go down below.
NEUT4|Subscribe, hit that Bell if you want to get invited every time that we post and why would down there we go ahead and go into the scription.
NEUT5|Join our Discord group where you can get notified whenever you buy or sell a stock investigator thesis on every single slot that we purchased, and we get our full portfolio as well.
BULL6|So getting a full TV as you can see, we had a nice little spike today, about $2.00 up from the original price.
NEUT7|Football TV is in live sports and live streaming.
NEUT8|And lately they have a really large short float, about 55% of all shares being shorted.
BULL9|This is why we got this large bike right here from a short squeeze, so we're expecting around up to around $40.00, so it's not too late to get in.
NEUT10|If you guys want to get a small profit right here, as you can see here, 86% of the analysts say bye and 14% say, holds.
NEUT11|Nobody's even recommending to sell it right now, as you guys should get in before the short squeeze is over, so we're going to some other catalyst for fubo TV.
NEUT12|So First off, here all the channels that field TV have on their streaming network.
NEUT13|As you can see they have a lot of channels that are popular, such as Fox Sports.
NEUT14|They also have ESPN on here somewhere.
NEUT15|Right here they also have a bunch of news channels.
NEUT16|They have A and E and also Disney and Disney Junior which are the main ones that I looked at.
BULL17|All right, moving on, they're moving into the sport online sports betting market as well, which will be a huge catalyst if they can create a good betting platform on their on their platform as well.
NEUT18|So they bought this company out, named Balto Sports.
NEUT19|So give you guys a look at their.
NEUT20|They're betting website.
NEUT21|As you can see here.
NEUT22|It looks pretty simple to use.
NEUT23|It is not out yet.
NEUT24|They are still developing it, but this is their rendered pictures of what it will look like once it comes out.
NEUT25|And as you can see it looks pretty simple to use an it looks actually like a clean crisp look to it.
NEUT26|So I think if FUBO TV gets all these all these catalysts, they are the short squeeze coming up that we could see around into the mid 40s.
BULL27|Even especially or easily hitting the 40s in my opinion.
BULL28|"So hopefully you guys can hop in on this before it's too late and I hope you guys are doing and I'll see you guys in the next one."""
