NEUT0|"""Neo stock analysis and predictions, January 8th."
NEUT1|In today's NEO stock analysis and predictions, Anio will win China, not Tesla.
NEUT2|Alright, let's get started from looks of things.
NEUT3|It is clear that NIO is Tesla's only real rival.
BULL4|The stock, just like Tesla, went from being listed as a penny stock to reaching gains upwards of 1483%.
BULL5|What even more impressive is that during the Corona virus outbreak, Anio managed to climb in price target shares, while major companies such as Ford and GM took downturns.
NEUT6|Now that a vaccine is available, analyst expect an iota surpass or reach the levels that Tesla is it today, today, the battle for the top EV company begins in 2021.
NEUT7|To be more specific, companies are fighting for a space in China.
BULL8|China is the world's largest TV market, with EV sales expected to grow by 70%.
BULL9|The company that captures China's EV market will become the leader in sales and brand influence.
BULL10|Tesla has just recently established factories in Shanghai in the hopes of taking over China's EV market.
BULL11|Tesla set a target of selling 200,000 vehicles by the end of 2020, but only ended up selling 50,000 an I on the other hand, has been showing record breaking delivery numbers for the past six months.
BULL12|Recently, Anio broke its monthly delivery record by selling 7007 cars in December, and I also has a large backlog of orders for its E C6ES6ES-8 and new E7 sedan.
NEUT13|According to analyst, NIO is set to accumulate 40 to 45% of China's electric vehicle market, while Tulsa is projected to take up 10 to 15%.
BULL14|China's EV market is up for grabs and looking at the numbers it looks like NIO is hitting milestones while Tesla is just getting started.
NEUT15|That's what's been happening this week in the world of NEO stock analysis and predictions.
NEUT16|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you and your business on the leading edge of NIO stocks and predictions.
NEUT17|If you enjoyed this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL18|We'd really appreciate it.
NEUT19|Are you still watching and want more?
NEUT20|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
