NEUT0|"""Yes Sir, you already know she will behave in bed with another one is going to get right into it."
NEUT1|You know what?
NEUT2|Waste?
NEUT3|Nobody time they will be touching base on the Express Pop Express pods exploding being we touch bases on these yesterday we told you not to go ahead and start averaging in getting that position built because it's about to explode.
NEUT4|Right now we're in the clear path.
NEUT5|Once we bust through 216, which we just did, we on a clear path to take up the 283 and once we get better to wait, three.
NEUT6|Is going to be easier than ever to reach $3 and you already know once we can go and look at the chart right quick after see what we might have to reboot through three.
NEUT7|This thing is exploding, I told you.
NEUT8|So lot of stars man going crazy and I'm telling you all about everyone over not everyone on but you know the ones that don't invest in anyone's.
NEUT9|I got high hopes about.
NEUT10|So once you reach 283, we can get the $3 easily.
NEUT11|Keys in the background don't mind them.
NEUT12|We can get the 283 easily.
NEUT13|And then we want series three.
NEUT14|We can fly up to $4 quick and go to his 450 go test.
NEUT15|Therefore 50 area.
NEUT16|Once you test for 50 year, we can fly to 560 real quick and once we get to five, you know that's when the big boys get in Wall Street.
NEUT17|All them.
NEUT18|They have their attention.
NEUT19|They'll start getting into this stock so this thing can easily once we get to five it easily shoot up to $7.00 plus and maybe hit ten will keep you all posted.
NEUT20|Will keep you updated.
NEUT21|I just want to put this quick video out there and let you know is exploding and guess case.
NEUT22|Some y'all don't see it or not aware and you always know don't have FOMO.
NEUT23|Don't help.
NEUT24|You're missing out.
NEUT25|I always wait for the pull back if you want in on this yet and you want to get in and you want their eyes running was a good spot for me to get in.
NEUT26|I need to get in a good spot to get in would be $2.00.
BEAR27|This thing could possibly pull back there scared the weekend scare, investors out there could possibly pull all the way back to around the low tools 201202.
NEUT28|Preferably, if you see this thing search when one 95193 that would be even excellent by point and what we would get out of this thing that we got and I support around a dollar and 70 a dollar seventy $0.75 over this thing break below $1.75 we were X on the downside and would update and get a new entry point, but we shouldn't see 175.
BULL29|We should see the nice push momentum bullish push up from here.
NEUT30|So that's all I got for this video.
NEUT31|You already know you boy.
NEUT32|This close to get monetized.
NEUT33|Like I say, run that playlist tonight.
NEUT34|If y'all don't mind.
BULL35|"So we are God bless ya love ya."""
