NEUT0|"""The intrinsic value of Facebook is ranged between $5.20 per share and $20.34 per share."
NEUT1|How are those values calculated?
NEUT2|Paying $5.20 per share represents the company's cash for every share issued and outstanding.
NEUT3|They have $5.20 in cash and cash equivalents, paying $20.34 per share represents a company's price per share based on its earnings.
NEUT4|A price of $20.34 per share represents the fractional payment.
NEUT5|For the company's next 20 years of median historical earnings, a conservative way to value a company using future earnings, which slightly differs from the results you'd get by calculating the price to earnings ratio.
NEUT6|Now what's the stock trading at today?
NEUT7|The stock is currently trading at a price of $263.11.
NEUT8|Huge due to the fact that this price falls far beyond the upper bound of the company's intrinsic value.
NEUT9|It would be reasonable to assume that the stock is currently overpriced.
BULL10|Your next step would be to find a better priced investment vehicle which can gain a similar return with similar risk, all while maintaining safety of principle with an ample margin of safety for the defensive investor.
NEUT11|Low cost index fund satisfies the Afor mentioned investment vehicle characteristics.
NEUT12|Specifically, the Vanguard 500 Index Fund is the same fund Warren Buffett used in his famous 10 year bet against the hedge fund industry, which he won.
NEUT13|Until we're able to find the stock which passes the scrutiny required of the analysis prescribed by Benjamin Graham and the value investing community as a whole, this investment vehicle should suffice.
NEUT14|The Vanguard 500 Index Fund serves as a prudent investment alternative too.
NEUT15|Facebook.
NEUT16|Until the stock trades at a price below $20.34 a share.
NEUT17|So join our value investing community and subscribe to my channel so you can continue to gain insight on how to analyze business performance so that your investment performance is optimized.
NEUT18|"Remember when your investment performance is optimized so as you well production, I'll see you in the next video value investors."""
