NEUT0|"""What's up guys, it's your boy will back into the video today."
NEUT1|I will be talking about nano Dimensions.
NEUT2|Take a simple in MDM, so in this manner dimension stock I'll be giving my analyst.
NEUT3|My prediction is also some key levels I see going forward.
NEUT4|I have got a couple of messages on my Instagram at world knowledge about this stock and if I'm still holding I am holding I am holding for longer term.
NEUT5|So you can get some shares at before it starts running up again, this is not a bad price to get it at because I see it going well over 20 dollars, $25, or 30.
NEUT6|I think the stock will be like a workhorse.
NEUT7|Stock workhorses like a dollar and now it's like 40 something, so that should give you guys how bullish I am on this stock.
NEUT8|I am holding long term.
BULL9|This was a support level that I had and as you can see how the support came back support came back support and this is holding up price.
NEUT10|This is also a level that I told you guys.
NEUT11|I think I told you like one of these days.
NEUT12|I was like I stocked as it's coming up.
NEUT13|Watch this level 'cause this could create resistance and as you can see they created resistance right on the dot OK and also today is my birthday but I'm just making an update for you guys so if you guys could show some support just the like button subscribe and also check out my page on page if you just want to support the channel.
BULL14|OK so resistance hit it on key point drop down came back to support Trace Highway is coming back up and now is trading in this range right?
NEUT15|And just building and building, waiting for that next pull up, or that pull down if it does come down, I think I might get some more shares.
NEUT16|My average is very low below $8.00, so that tells you guys how long I've been in stock, so I don't know if I want to buy at these prices, but I think I will buy because I do see prices going over $20.00.
NEUT17|So I'm looking at this level and I'm looking at this level.
NEUT18|This resistance level is 1698 seventeen dollars and this level is 1333, so we needed to break out of this one of these two areas.
NEUT19|To give us more insight on where the stock will go.
NEUT20|OK if it breaks out of here and bullish breaks out of here bears so that just gives you guys how I'm looking at the stock and what I'm waiting to see.
NEUT21|OK, so this is your update.
NEUT22|"None of the recommendation of are so many things for educational purposes only, so do not try anything you share his videos and I'll catch you guys in the next one."""
