BEAR0|"""Well, it doesn't make sense."
NEUT1|I mean, every time cannabis is on the ballot in any state in the union, it tends to win, correct?
NEUT2|That's right.
NEUT3|Actually in this last election, every single state that which were five of them that had a cannabis initiatives passed overwhelmingly, and we're talking about states like Mississippi, which of course is deeply red and very conservative in all the way, of course, to to other states as well, such as you know, North Dakota and so forth.
BULL4|So it's it's been an amazing run for cannabis lately, and it certainly is becoming more and more more and more normalized.
BULL5|OK, you have a great hub strategy, and it's helped you deliver some incredibly good same store sales numbers.
NEUT6|And your big in Pennsylvania made some acquisitions.
BULL7|They seem good.
NEUT8|Can I expect the same thing to happen in the great state of New Jersey?
NEUT9|We are right now.
NEUT10|Well, I mean, New Jersey is certainly hot right now, as the Governor, Ann Ann.
NEUT11|Others, are poisoning that state for recreational cannabis measures to come.
NEUT12|And really, in the Northeast as a whole, we see that that region turning on an in for us really the hub strategy is about, you know, just market opportunity and making sure that we have scale in different hubs as the federal landscape changes, which is changing around us like we just said.
BULL13|And so it's important to have economies of scale and again efficiencies.
NEUT14|And it's really all about bringing the best quality.
NEUT15|Products to the customers without fantastic customer experience and you know the US is a very different market than our friends to the North and there is real incredible opportunity here as we look at the numbers and the growth trajectory for the US in the years ahead.
NEUT16|Don't miss a second of mad money.
NEUT17|Follow at Jim Cramer on Twitter.
NEUT18|Have a question?
NEUT19|Tweet Cramer hashtag mad tweets send Jim an email to mad money at cnbc.com or give us a call at one 807 four three CNBC Miss something Ed to madmoney.cnbc.com.
NEUT20|Shepard Smith here.
NEUT21|"Thanks for watching CNBC on YouTube."""
