NEUT0|"""Call Aaron."
NEUT1|Welcome back to this channel today we're trading VTVT.
NEUT2|As you can see, right down there right corner in the bottom is my profit 668 and now it's trading at 4:15 for sure.
NEUT3|I see another one, but DBTT now it's at 380 profit 236 a dollar $3.
NEUT4|This is one of my favorite patterns to trade.
BULL5|Alright, so I posit boom, $9 already at 4:25.
NEUT6|At 4:30 I'm aiming at $5 easy.
NEUT7|That's one of my favorite patterns to trade at any stocks, either stocks or forex pairs.
NEUT8|$13.00 $10.
NEUT9|Let's see will be going with that.
NEUT10|I mean, $5 easy.
BEAR11|$42 at 477.
NEUT12|Like I said that 467 pause it for a second.
NEUT13|Now it's $5 five 13.
NEUT14|Perfect amazing when a Good Friday.
BULL15|$50 profit in less than an hour and a half.
NEUT16|So $50.00 an hour.
BEAR17|$53 not rideable on Masada right here.
BULL18|Thank you guys for watching my videos.
NEUT19|"Please watch my mic."""
