NEUT0|"""Pharmaca Geyser Boy will back on the video today."
NEUT1|Today I would be talking about check stock ticker, symbol, CHD K and let's check cap stock.
NEUT2|So I'll give you guys some analysts answer predictions on this stock in the stock market so make sure you like the video.
NEUT3|Had that subscribe button and turn on post vacation so you don't miss any updates and let's get into it.
NEUT4|So as you guys know these two levels I gave you all just look how much.
NEUT5|Time is spent through this level, right?
NEUT6|You very cute levels.
NEUT7|It's just been right here this whole time I am ready for it to start making a move.
NEUT8|But I think is waiting for like the CT scan results and how well it's doing and they're still getting some patents.
NEUT9|So I think is waiting for the news.
BULL10|But I do want it to start trending up a little bit right?
BULL11|And not just stick around this level 'cause I think the more space here, the weaker this these levels get and it might fall through OK if it does fall through, I will still be getting more shares as the main play for this stuff for me is the C scan technology that they're doing, and I'm hoping that some good news come out.
BULL12|Like some really good news and like they keep moving forward with the US patent this stuff and this will rocket up right.
BEAR13|This is a resistance level that I see at $2.04.
NEUT14|I mean $0.40.
NEUT15|When prices going up right, I'll watch this level if it comes back down, I'll buy more and then hold for the push up right.
NEUT16|But if it comes up here and just ran through it like that, that'll be very bullish and will just be holding OK.
NEUT17|So right now I'm making sure if it doesn't fall below this level.
NEUT18|If it does, I'll just be buying more 'cause my main goal for this talk is the news, but if it starts coming up I'll just wait, hold the shares that I have watched this level if it breaks down and breaks down, I'll get more shares then I'll be holding for the run up, OK?
NEUT19|So that's how I'm really playing the stock.
NEUT20|I'm really waiting for the news 'cause that's the main catalyst to move this stock right now.
NEUT21|And that is how I'm playing it.
NEUT22|So these levels is 159 last Defense 154 and this resistance right here is $2.40.
BULL23|OK, so hope you guys like the video.
NEUT24|None of the recommendation of our so anything is for educational purposes only.
NEUT25|So do not try anything you see in these videos and I'll catch you guys in the next one.
NEUT26|"Bye."""
