NEUT0|"""Welcome to the Edelweiss Financial Services Limited stock analysis video."
NEUT1|In this video we would look at fundamentals of Edelweiss Financial Services Limited and important financial ratio.
NEUT2|Edelweiss Financial Services limited.
NEUT3|Current price is 177.50.
BEAR4|It changed minus 0.78% lower than previous close.
NEUT5|Its 52 week highs 189.8 and 52 week low is 58.1 companies earning per share is 7.3 and its price to equity ratio is 24.5.
NEUT6|Star cast book to price ratio is 3.5.
NEUT7|Edelweiss Financial Services limited.
NEUT8|Return on equity is that 12.1%.
BEAR9|Company had 1929.34 revenue in Q416 as compared to 1605 point 2,00,00,000 into 316.
BULL10|Revenue has grown consistently in last few quarters, which is positive for company.
BULL11|Revenue has grown quarter on quarter with twenty point 2% in current quarter and zero point, 8% in previous quarters.
BULL12|Raw food has grown steadily in last few quarters with 170 years compared to 155 point 2,00,00,000 in previous quarter.
BULL13|Profit growth rate has also grown steadily in last few quarters.
BULL14|It has grown 9.57% in last quarter compared to 7.45% in previous quarter, which is great positive.
BEAR15|Profit margin is the ratio of net profits revenues profit margin in Q416 is 8.81 as compared to 9.67 in Q316.
BEAR16|Operating profit for the company in view 416 is 1006.98 or as compared to 942.674 in Q316L built in Q416 is 254.63 or as compared to 248 point three 2,00,00,000 in Q316.
BEAR17|Operating profit margin for the company in Q416 is 52.19% as compared to 58.73% in Q316.
BEAR18|Ebbett margin in Q416 is 13.2% as compared to 15.47% in Q316.
BEAR19|Company has 27,773.14 dead.
BULL20|It has increased liability of 2809.7 roller companies.
NEUT21|Inquisitor coverage ration is 1.34.
NEUT22|Finally, here is a summary of few positives and negatives based on these analysis points we have calculated the rating for Edelweiss Financial Services Limited.
NEUT23|Here is rating on a scale of 10 for Edelweiss Financial Services Limited.
BULL24|"Thanks for watching this video."""
