NEUT0|"""Neo stock analysis and predictions, November 18th."
NEUT1|In today's NEO stock analysis and predictions, three takeaways from Neo's earnings report.
NEUT2|All right, let's get started.
BULL3|One nio's new car will benefit them.
BULL4|Neo has made some big advancements with its product lineup.
NEUT5|It launched the S 8 and then the E S6.
NEUT6|Then, just in September of this year, the company began production and delivery of its EC 6 crossover.
NEUT7|Neo said that it is planning to round out its lineup with two sedans starting in 2021.
NEUT8|Although it shared very few details about these cars, Li maintained that Neo is being very strategic about its products.
BULL9|Importantly, he said that with each new vehicle, the company intentionally picked a new market to enter to expand its reach and boost consumer adoption.
BULL10|It is exciting to see Neo ramp up the amount of vehicles it offers to appeal to different types of consumers.
NEUT11|There is also one specific element of this announcement that should have investors particularly excited, Neo said during the earnings call that one of these sedans would incorporate its next generation autonomous driving platform.
BEAR12|Which it refers to as MP 2.0 earlier in the year, rumors began to leak about this flagship sedan.
NEUT13|Currently speculation is that this model will be called the E7 and will go on sale in 2021.
BULL14|Two new battery aesthetics leading up to the Q 3 earnings call batteries also provided a nice boost to NIO stock earlier in November, the company hosted a battery focused event to share its newest advancement.
NEUT15|This quarter.
BULL16|It will begin delivering a 100 kWh battery that will improve driving range and overall vehicle performance.
NEUT17|First, the company sees the 100 kilowatt hours.
BULL18|Battery is a big leap forward in its appeal to consumers.
NEUT19|The battery launches along with the ramp of its battery as a service business model, wherein it gives buyers a chance to subscribe to its batteries.
BEAR20|This model lowers the initial purchase price of the cars as buyers are essentially purchasing the vehicle without a battery.
BEAR21|Three competition during Neo's earnings call, the battle between Neo and Tesla was highlighted.
NEUT22|Many analysts were wondering about the effect that Tesla would have on Neo.
NEUT23|Lee stated.
BEAR24|Tesla's price cuts have not affected us at all.
BULL25|We are selling well over 10,000 car per month and our sales are also increasing.
NEUT26|The only thing Tesla's model Y will do is interest in electric cars.
NEUT27|That's what's been happening this week in the world of Neo.
NEUT28|Stock analysis and predictions.
NEUT29|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you and your business on the leading edge of NIO stocks and predictions.
NEUT30|If you enjoyed this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL31|We'd really appreciate it.
NEUT32|Are you still watching and want more?
NEUT33|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
