NEUT0|"""So next question."
NEUT1|Thoughts on Voyager?
BULL2|Alright, this has been one of the hottest outside investments this month.
BULL3|It's been doing very very well, so let's pull this up.
NEUT4|Let me also see if we can put this up here on talking metrics 'cause I know this was one of the.
NEUT5|Highest rated tokens on our site for the quant grade.
NEUT6|OK alright.
NEUT7|Then actually switch to.
NEUT8|Was it quarterly?
NEUT9|Yeah, so.
BULL10|Pretty much has been highly rated for the last week or so.
BULL11|And this prices shot up on man it went from.
NEUT12|About $0.16 to.
NEUT13|285 Anne.
NEUT14|The price prediction thinks it can go all the way up until 362.
NEUT15|So and currently trading on.
NEUT16|Bonanza and you swap Bill.
NEUT17|What is the TV show you?
NEUT18|OK, let me let me get you a better picture here.
NEUT19|Coming right up.
NEUT20|You know when it comes to stuff like this?
NEUT21|It feels like.
NEUT22|This is one of these tokens that you just you don't mess with it.
NEUT23|Right if you if you get in the way of something that's moving.
NEUT24|Test.
NEUT25|In Voyager, right?
NEUT26|With your token now on one hand, this could be smart money, kind of letting it go.
NEUT27|But it can also be like volume building on the moves.
NEUT28|So in the past when you've seen big volume, you know Voyager has chilled out.
NEUT29|So if you've missed this, it's not the end of the world, right?
NEUT30|You may actually get some sideways action in order to get involved.
BULL31|However, if token metrics is, AI continues to rate this highly.
NEUT32|You may not get.
NEUT33|An extended dip.
NEUT34|So this is a four hour chart.
NEUT35|January 31st Sunday.
NEUT36|So there may be.
BEAR37|I don't know four or five days of range trading in this, particularly if crypto itself slumps or gets choppy.
NEUT38|But this does look like a buy the dip candidate.
NEUT39|Right?
NEUT40|Especially if our rankings are there.
NEUT41|To key metrics is a cryptocurrency investment platform that helps users leverage machine learning to become better crypto investors.
NEUT42|Our in-depth analysis helps eliminate the emotions of investing, find profitable investment opportunities, and filters out scams.
NEUT43|Learn more at tokenmetrics.com.
NEUT44|Disclaimer to key Metrics Media LLC does not provide individually tailored investment advice and does not take his subscribers or anyone's personal circumstances into consideration when discussing investments.
NEUT45|Nor is the registered as an investment advisor or broker dealer in any jurisdiction.
NEUT46|Information contained herein is not an offer or solicitation of buy, hold or sell any security that Oki metrics team has advised and invested in many blockchain companies.
NEUT47|"A complete list of their advisory roles in Kernel Holdings can be viewed here at to keymetrics.com/disclosures."""
