NEUT0|"""Everybody."
NEUT1|Package just came in.
NEUT2|Play Mac.
NEUT3|Hello detective banks.
NEUT4|Do you know where your officers are?
NEUT5|Jigsaw other Jigsaw killer was dead.
NEUT6|He is.
NEUT7|Hours, not days.
NEUT8|How could I catch this guy if there's nobody on the bus?
NEUT9|You can't do this alone.
NEUT10|Never did this has another motive, something personal.
NEUT11|When was the last time you saw your father?
NEUT12|He went viral.
BEAR13|Jigsaw copycat this is gonna go sideways fast.
NEUT14|Pirate.
BEAR15|All available units officer down.
NEUT16|Version to get us out of the precinct.
NEUT17|I need everyone on this case.
NEUT18|It could be anywhere he could be anyone.
NEUT19|We're going to tear this city apart.
NEUT20|Hello detective banks.
NEUT21|When was the last time?
NEUT22|"You saw your father."""
