BULL0|"""Hello guys, welcome back."
NEUT1|This is about Jonathan today I'm back for another video which is about Apple as usual.
BULL2|Today, Apple traded from 132 to 136.
NEUT3|At the opening of the Bell Apple open at 136.
NEUT4|And that's when it goes down a little bit from 1:36 to 1:30.
NEUT5|Five, $0.85.
NEUT6|It got talked a little bit to 136 and that's when it keeps going down.
NEUT7|It made a little bit of with some reversals.
BEAR8|However, it couldn't keep up.
NEUT9|And then that's when it goes all the way down to 122.
BEAR10|$0.79 Apple underperformed.
NEUT11|Throughout the day and eventually closed.
NEUT12|They want to 132.
NEUT13|However.
BEAR14|Even though Apple has been under perform mean.
BULL15|For the last three months, it's still one of the best stocks out there compared to Microsoft.
BULL16|Compared to Google, Amazon for the year up or give a gain of 63% compared to Microsoft, which gave again after you 1% and could go, which gave again after the 9% and the only stock that match that could match apples game for the whole year was Amazon which gave.
BULL17|Again of 53%.
NEUT18|But for now Apple is.
NEUT19|On a decline, let's go to the five day chart, OK?
NEUT20|I put kept giving.
BULL21|Hi Rose, higher lows, higher lows.
NEUT22|OK, so uh, please only diplay for now.
NEUT23|When we go under one each shot.
BULL24|OK, Apple is still still performing good.
NEUT25|It could reach.
BEAR26|A bearish territorial.
NEUT27|If it goes below 120, if it goes below 120 then it's definitely bearish, but for now.
NEUT28|I would say it's safe for now, even me, myself, I invest in Apple.
NEUT29|I'm very calm because I know Apple is a very good stock, right?
BULL30|It always perform well.
NEUT31|It always go off, so there's no need to panic.
NEUT32|Hopefully Apple.
BULL33|Perform very well tomorrow.
NEUT34|We we can never.
NEUT35|We can never know right with with a lot of uncertainties in the market, so we'll see.
BULL36|Thank you very much guys.
NEUT37|Don't be, don't be shy to leave a comment whether it's going to be negative or positive.
NEUT38|It's good, don't forget to subscribe if you have a subscribe to my channel.
NEUT39|"For further videos, thank you."""
