NEUT0|"""Play shape now."
NEUT1|No sleep then yeah yeah.
NEUT2|Be so sleep.
NEUT3|Thank you so.
NEUT4|Sis.
NEUT5|Don't say thank you please.
NEUT6|So you like it.
BULL7|Thank you love.
NEUT8|I just always so puff guy.
NEUT9|I'm not bad side making one sad sight make you go from that time I suppose you that's right.
NEUT10|God.
NEUT11|The.
NEUT12|Take control.
NEUT13|You know that we have to play the World Cup.
NEUT14|So you like it.
NEUT15|Really rough guy, just thinking.
NEUT16|I'm not bad side making love sad sight make you go from that side my seduce your dad type.
BEAR17|I'm not good guy.
NEUT18|The.
NEUT19|Like when you get mad.
BULL20|I guess I'm pretty glad that you're alone.
BEAR21|You said she scared me.
NEUT22|I mean.
NEUT23|I don't think she sees that.
NEUT24|"Maybe it's 'cause I'm wearing your Cologne."""
