NEUT0|"""So I like everyone."
NEUT1|Welcome back Chris cryptocurrency prediction video today.
NEUT2|We are going to do the prediction on Bitcoin last three days ago.
NEUT3|I will make a video on Bitcoin that I have told him in that video that it's the best time to buy your Bitcoin.
NEUT4|That time.
NEUT5|The price was that ready for Lac rupees.
NEUT6|You can see the screenshot.
NEUT7|So now the price you can see in Indian rupees it is 39 black 14,000.
BEAR8|OK guys it is 39 like 49,000 and three days away.
NEUT9|It was 4034 Lac and it is now 39 like you will be the profit of more than five to six degrees so.
NEUT10|My prediction it is now right?
NEUT11|So guys you can understand that my prediction is very strong.
NEUT12|So now the price is 54,000 and now my prediction is that is the best time to sell your Bitcoin.
NEUT13|Or because the price may go now down anytime, anywhere.
NEUT14|So guys now it's best time to sell your Bitcoin when the price goes less than 34 or 35 degrees you can again purchase Bitcoin so its predictions in exterminator owners.
NEUT15|"OK bye."""
