NEUT0|"""Welcome to my channel."
NEUT1|My goal is to make you and me money.
NEUT2|I have a high success rate and if you find this useful, support my channel so I can continue to make this content.
NEUT3|I am reviewing NDMGXY&LUVU stock at the request of my subscribers questions or recommendations are welcome.
NEUT4|Thank you.
NEUT5|My dedicated subscribers for supporting my channel.
BULL6|I hope you all are making money.
NEUT7|On the nano dimensions or NND Ms chart are the important support points in red.
NEUT8|If the stock breaks the support point or next potential reversal point is the next one.
NEUT9|When one holds, the stock will reverse.
BEAR10|The reason why the stock is down is because of a direct offering.
NEUT11|The company has 120,000,000.
BULL12|Clearly not short on cash and will gain over $300 million.
BULL13|To improve itself, which is beneficial long term and the majority of the investors agreed, the stock dilution occurs at January 19th.
NEUT14|Then all the sellers will buy back the stock.
BEAR15|Before the news, there was a bullish flag pattern and huge amounts of volume.
NEUT16|The stock was set to rise and when the reason for the suppression is gone, the stock will skyrocket.
BULL17|On GXYS chart, Mcdee is curling and has almost formed a bullish cross, and if the rate of change indicator rises above 0, the chance of a bullish rally is 90%.
NEUT18|Links are in the description and an LUVUS chart is a bullish wedge that is about to break.
BULL19|The Mac D Cross an rate of change indicator or Pocs is above 0 and as the wedge pattern is almost complete, there is a 90% chance of a bullish breakout when those two indicators are bullish.
BULL20|The stock will go up and the stock will reach the previous high.
NEUT21|Thank you for watching every day.
NEUT22|"I release Penny stock buy alerts, subscribe to be notified if you found my channel sooner, you could be over 500% up rock on."""
