BEAR0|"""JDA, we start with one overcharges running away."
NEUT1|Quick update.
NEUT2|OK if we refer to our analyzes.
BEAR3|That's why when the price was within this movie I mentioned we are expecting for one more drop than we mentioned.
BEAR4|We want the price to drop and break this slow flowing with 1.138.
NEUT5|Exactly this is what we get.
BEAR6|No one is but the only things is what we did was really quite sharp and prices start to reverse.
NEUT7|Now we need to see if you wanna look for by we need to get their reversal but right now we cannot jump into the trade is really risky and even if you move to 15 minutes we see what we have.
NEUT8|Alright, even based on 15 minutes we don't have any trade set up to look for by but over there I mean what we have been looking for.
NEUT9|We have been looking for this correction to look for yourself.
NEUT10|If you get any reversal with the flag we can look for by with a breakout of desktop, but we need to get a sharp move right?
NEUT11|And right now we don't have any reversal.
BULL12|OK, because simply because of what we get here is better.
NEUT13|We wait.
NEUT14|We see whether we can get any trade setup for buy or not because it still we can expect this one give a flag.
BEAR15|Continuation, we need to be quite careful, but whatever we're expecting we mentioned we have the price mostly can drop exactly what we were expecting.
NEUT16|This happen now we start with the higher timeframe.
NEUT17|We start with daily chart.
NEUT18|OK, the only thing is we're looking at this.
NEUT19|We want to see whether there is a continuation or this one can turn into one more drop.
NEUT20|That's why we need to be quite careful.
NEUT21|But mostly we're looking for continuation.
NEUT22|We expect this one through continue and break this stop.
NEUT23|By the way, we have nothing else to discuss, mission forward, turn, and if we move too.
NEUT24|Service and editor.
NEUT25|Dan know if we move to forward chart, this is what we have been looking for.
BEAR26|Still because we have been looking for this correction for the price to drop because we went we wanted to see whether we can get any trade setup from this correction or not because we've put in relative to this.
NEUT27|OK, but again for by we need to look for yourself simply because of the sharp movie get here and we cannot simply jump into the trade for by video.
NEUT28|I mean videos, we get the trade setup because it still we can expect this one to continue and even the possibility of the radius is low.
NEUT29|Is there OK?
NEUT30|That's why we need to be quite careful and right now based on forward chart we don't have anything.
NEUT31|Is the only things is as what we were expected the price to drop to 1.138 now wanna see what's the next and the best things is we wait and see whether we can get trade setup for buy or not because it's still we can expect this one.
NEUT32|With the break out of this, we can look for the next rate as soon as early next target, which is 1.08 and throwing by that.
NEUT33|Still we can look for one.
NEUT34|That's why we need to be quite careful simply because of the short move.
NEUT35|By the way, if we get any trade setup for army for reversal from here, we can look for by and in this case we just follow the charges facing an update.
BULL36|"I will share thanks."""
