NEUT0|"""Neo stock analysis and predictions, November 13th."
NEUT1|In today's NEO stock analysis and predictions do not believe Citron.
NEUT2|Alright, let's get started.
BEAR3|Shares of electric vehicle maker NIO Inc reversed course to trade lower on Friday after short seller Citron Research recommended investors to sell the stock, citing pricing pressure posed by bigger rival Tesla Inc.
NEUT4|In the Chinese market.
BEAR5|According to Citroen Neo Z S6 hatchback model faces imminent threat from likely price cuts for Tesla's Model Y in China.
NEUT6|Andrew, left, own Citron, said in an investor note.
NEUT7|Left has long targeted companies that he thinks are overvalued, which is very strange because the firm's original recommendation two years ago, urged investors to buy the stock.
NEUT8|Now, for some reason, the company does not believe in an IO stock or its prospects is very questionable.
BEAR9|As of late, Tesla has cut its model Y price several times in order to meet China's EV selling market price.
BEAR10|Why Tesla has slashed its prices in order to keep up with Neo, which is supported by China's government subsidies?
BEAR11|Citron assign a low price target on the Neo stock on Friday.
BEAR12|Implying a 48% downside to its last closing price, it is clear to note that none of Citrons claims are backed by any evidence.
BULL13|In fact, Citron has done the same thing to SQ stock, which now has a price target of $178, with profits of 303 billion NEO, which has risen more than 12 fold this year will continue to rise and compete with Tesla, according to Rob Lavinsky, a suncrest bank analyst.
NEUT14|Leo is along by not short covering.
NEUT15|You should take citrons analysis with a grain of salt.
NEUT16|Investors should hold to Neo stock for the long haul.
NEUT17|That's what's been happening this week in the world of NEO stock analysis and predictions.
NEUT18|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you and your business on the leading edge of NIO stocks and predictions.
NEUT19|If you enjoy this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL20|We'd really appreciate it.
NEUT21|Are you still watching and want more?
NEUT22|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
