NEUT0|"""The effect of all the vector vest parameters working together."
NEUT1|These parameters are designed to help investors buy safe undervalued stocks rising in price dot value Ekeren price $1.00 point 71 current value $0.00 point 81.
BEAR2|INPX has a current value of $0.81 per share compared to a price of $1.71 per share.
NEUT3|This stock is currently overvalued.
NEUT4|Value is computed from forecasted earnings per share.
BULL5|Forecasted earnings growth.
BULL6|Profitability interest.
NEUT7|An inflation rates dot upside potential relative value RV PORV is an indicator of long term price appreciation.
BEAR8|Potential inp, X has an RV of 0.55 which is poor on a scale of 0.0 to 2.0.
NEUT9|This indicator is far superior to a simple comparison of price and value because it is computed from an analysis of projected price appreciation.
NEUT10|Three years out.
BULL11|AAA corporate bond rates an risk safety relative safety Rs.
NEUT12|Very pores is an indicator of risk.
BEAR13|INPX has an Rs rating of 0.32 which is very poor on a scale of 0.0 to 2.0.
NEUT14|Rs is computed from an analysis of the consistency and predictability of a company's financial performance.
NEUT15|Debt to equity ratio.
NEUT16|Miss longevity, price, volatility and other factors dot timing relative timing.
NEUT17|RT very goob DRT analyzes a stocks price trend.
NEUT18|Inp X has a relative timing of 1.37 which is very good on a scale of 0.0 to 2.0 RT is computed from an analysis of the direction, magnitude and dynamics of a stocks price movements day over date, week, over week, quarter, over quarter and year over year.
BULL19|If the trend dissipates, RT will gravitate toward 1.0 overall rating.
NEUT20|Value safety timing.
NEUT21|VST fares.
NEUT22|Does the master indicator for ranking every stock in the vector of his database.
NEUT23|Inp ex has a VST rating of 0.92 which is fair on a scale of 0.0 to 2.0.
NEUT24|Vt is computed from the square root of a weighted sum of the squares of RV Rs and RT stocks with the highest VST ratings have the best combinations of value safety and timing dot stop stop price stock price $1.00 point 29 stop is an indicator of when to sell a position.
NEUT25|INPX has a stop of $1.29 per share.
NEUT26|A stock stop is computed from a 13 week moving average of its closing prices and is fine tuned, according to the stocks fundamentals.
NEUT27|CI comfort index.
BEAR28|Very poor.
NEUT29|See as an indicator, which reflects a stock's ability to resist severe and or lengthy price declines.
BEAR30|Inp, X has a sigh rating of 0.25, which is very poor on a scale of 0.0 to 2.0 size based solely upon his stocks.
NEUT31|Long term price history.
BULL32|GRT earnings growth rate.
BULL33|GRT reflects a companies one to three year forecasted earnings growth rate in percent per year.
BEAR34|Inp X has a forecasted earnings growth rate of minus 7.00%, which vector vest considers to be very poor.
NEUT35|DPS earnings per share.
BULL36|EPS stands for leading 12 months earnings per share.
NEUT37|Inp X has a forecasted EPS of minus $6.12 per share vector.
NEUT38|Vis determines this forecast from a combination of recent earnings performance and traditional fiscal and or calendar year earnings.
NEUT39|Forecasts dot P price to earnings ratio.
NEUT40|Is required to buy $1.00 of earnings.
NEUT41|Inp ex has a P of minus 0.28.
NEUT42|The average P of all the stocks in the vector of his database is 69.33 day earnings yield Aeroflex earnings per share as a percent of price.
NEUT43|Inp X has an A of minus 357.89%.
BEAR44|This is below the current average of 1.44% for all the stocks in the vector of his database.
BULL45|GP growth to PE ratio.
NEUT46|"Inp ex has a GPU rating of minus 25.0."""
