NEUT0|"""Everyone and welcome back to another video."
NEUT1|So today we're going to talk about AMC Entertainment because don't know AMC has been going up.
NEUT2|It literally drop down again since I only have one share and this was a free stock that I actually receive here in Robin up.
NEUT3|Anyways, if you have to join short video straight to the point things drop a like subscribe and turn on the small suit modifications on top of that guys literally don't forget to claim your free stocks here on.
NEUT4|We will guys look at this.
NEUT5|I'm getting 35 three dollars stocks.
NEUT6|I'm get away $50 to a random person that uses my link down below.
NEUT7|To sign up and you know basically sign up with Weibo or we have to do is sign up deposit or $100 and you get 4 free songs.
NEUT8|They were always running this promotion so guys do not miss out on this.
NEUT9|I'm giving away $50 guys.
NEUT10|You guys want to miss out well Oh well but guys AMC entertainment man why is it going up?
NEUT11|What is going on?
BEAR12|Yes and see that little EMC was doing absolutely amazing already dropping to as low as like $9 going back up but we got this huge spike.
NEUT13|You know this past weekend and there's only one reason why OK?
NEUT14|And that is because of the movie Kong or basically Godzilla versus Kong, which they did absolutely amazing people, you know enjoy the movie was really good movie as in and watch it and that's the reality of the main reason why it's going up even right here.
BULL15|You know, Robin hasn't man look, it went up because of because of the movie man, Godzilla versus Kong.
BULL16|They did amazing and I'm glad that AMC's are open again and you know they were actually close for over a year but they finally open.
NEUT17|We got the green flag to basically you know.
NEUT18|Reopen everything here in California, also around the United States, but let me know what you guys think about this.
NEUT19|I for sure definitely will know.
BULL20|In my prediction I feel that AMC is definitely going to go up.
NEUT21|Let me know what you guys think about this, but I hope you guys enjoy.
NEUT22|If you do give it a big thumbs up.
NEUT23|"Don't forget to claim your free socks and I will see you guys on the next video."""
