NEUT0|"""What is going on?"
NEUT1|YouTube?
NEUT2|Welcome back to another video and in this one we're going to be covering AMC again and guys I made an AMC video on Saturday.
NEUT3|I took Sunday off.
NEUT4|I'm back today and guys.
BULL5|I said AMC is probably going to go up because of the stimulus checks and because of the hype and just more capital coming into everyone's pockets.
NEUT6|And what happened?
BULL7|AMC is up 26% guys.
NEUT8|Now guys here's what I think is going to happen.
NEUT9|OK one.
BEAR10|Right now, if you guys haven't already seen the price of Bitcoin, which has nothing to do with MC, but Bitcoin is dropping so a lot of people who bought Bitcoin recently are going to get scared, and they're going to sell their Bitcoin and buy something else.
NEUT11|Now.
NEUT12|A lot of people, the noob investors, the people who aren't in my real or not my real estate, people who aren't in my stock market course.
NEUT13|They're not going to know how to handle these markets are not going to know what to do and a lot of people are going to be buying right now and let me tell you something.
NEUT14|If you're in my free Discord link in Bio or link in description, you know not to buy right now, but look, I really do think.
BULL15|That agency is going to continue to rally up for the next week.
NEUT16|I really do think that there is going to be a lot more that comes from this because again, the stimulus checks.
NEUT17|I covered it in my last AMC video.
NEUT18|They're going to be coming out and they're going to be not all coming out instantly now.
NEUT19|Some people have already received their stimulus checks, but from my understanding there is still the majority of people who have not received their stemis.
NEUT20|Now guys, when this Timmy's come through, this Timmy's come through OK. Other things I do want to quickly say guys.
NEUT21|I tested positive for covid I have hella symptoms.
NEUT22|I'm going to try and you know, crush out some videos.
NEUT23|A lot of the videos are going to be like screen recorded videos like these are not going to be from my camera or you guys can see my beautiful face.
NEUT24|Reason being guys like I literally look like ****.
BEAR25|I'm sick.
NEUT26|I have hella symptoms but I want to try to pump up videos whenever I can, and whenever there's something interesting going on.
NEUT27|So guys please smash the like button.
NEUT28|'cause guys I'm giving you guys content while I have covid I'm telling you guys this *****.
NEUT29|Also guys drop a comment below and maybe I'll make a covid blog and I'll tell you guys how my life is with covid.
NEUT30|I'll make a cool blog out of it if you guys want because aims back to the stocks.
BULL31|AMC guys it is going up right now.
BULL32|And yeah guys, it's gonna be interesting to see where this close is that right now I'm filming this at 3:37 PM and like I said it is up 25%.
NEUT33|Right now I feel like the stock this week can probably hit $20.
NEUT34|I really think again because it's not going to be that hard for it to do it.
NEUT35|You know, if you just see a few more moves up, another thing is there was news that came up and apparently they're going to reopen some California movie theaters this week, which is also amazing.
NEUT36|Here in Ontario, where I'm from, you know, from Toronto we are looking to see a potential third wave of.
NEUT37|No covid, so that's going to happen.
NEUT38|That's going to **** but I want to share how the cases are in the States and all that type of stuff.
BULL39|I don't really pay attention to the news, but things are looking like it's opening up again in America, which is amazing.
BULL40|So guys, I think this is very good news for AMC.
NEUT41|I think AMC can continue to go up guys remember the stock market is place where you can get rich long term.
NEUT42|If you're looking to get rich quick, expect to get burned even faster right now for you guys.
NEUT43|If you did enjoy.
NEUT44|If you leave a like hit that subscribe button, hit that notification Bell AMC to $20 baby.
NEUT45|Let's go.
NEUT46|I think it could happen.
NEUT47|They can for sure happen this week.
NEUT48|Let's see what happens.
NEUT49|And yeah guys.
BULL50|"Remember, stay seeking success."""
