BULL0|"""Welcome friends."
NEUT1|Welcome to you all on your own channel.
NEUT2|Small investors and technicals guys.
NEUT3|I'd like to request you those who are new on my channel.
NEUT4|Please subscribe and open the Bell notification because from now onwards I will come up with always.
NEUT5|Any new opportunity and any stopper in any crypto currency, whether it's BTC, therium anything and I will share with you all.
NEUT6|OK, so before proceeding any further, I'd like to request you all.
NEUT7|I'm going to talk about all the aspect, all the possible things which can be in the Bitcoin.
NEUT8|So watch this video till last.
NEUT9|Then only will come to know what could be the next price target and what could be the next.
NEUT10|Long term target.
NEUT11|OK so guys I've just opened the one hour chart on Bitcoin where.
NEUT12|We can see the breakout has been come and the target which is coming around.
NEUT13|This level I have already drawn the FEMA Nachi retracement.
NEUT14|The target is coming around 39 point.
NEUT15|Sorry 39,852 and that stop loss is 35,870.
BEAR16|If the price on hourly chart will close below that then this Bitcoin will become weaker and the next target will be in.
NEUT17|Bitcoin will be 34,000.
NEUT18|OK, so now what could be the long term target and what could be the possibilities?
NEUT19|Let me tell you about the daily chart I'm going to open the daily chart.
NEUT20|Here it is.
NEUT21|So on the daily talk, the target still same 39,200.
NEUT22|And if this scandal which is forming.
BULL23|Will close above this 39,200 on daily chart.
NEUT24|Then the next target which is coming.
NEUT25|43 thousand 769.
NEUT26|Yes, the next target will be 43 thousand 769.
NEUT27|This could be an as I told you.
BEAR28|If, on hourly chart, the price will close below this level.
NEUT29|35,900 then the next target will be.
NEUT30|34,000.
NEUT31|OK so guys before doing analysis you can do your own analysis as well.
NEUT32|And then take your trade.
BULL33|OK, thanks for watching.
BULL34|"Stay healthy and God bless you all."""
