NEUT0|"""Hello guys, in this video we're going to talk about Reno which is a car manufacturer in France."
BULL1|So I spotted the upside potential here at $22.22 euros.
BULL2|I'm sorry and the upside potential for 40% gains till 29 euro because both JP Morgan and Goldman Sachs put a target price for Reno at $29.00.
NEUT3|What happened was that.
NEUT4|Today Reno is 35.77 euro, so this is in my opinion an accumulation area right now.
NEUT5|And the.
NEUT6|It is a hold for the moment if we look at the consensus target price of the analysts, we can see that 29 Euro 28 euro is the consensus price.
BULL7|But also JP Morgan Chase updated the target price to €40.
NEUT8|While other brokerages put it around 2530 or 22, I don't know if it will go to 40.
NEUT9|This is an estimate one year from now, but I think that 35 area is is doable.
NEUT10|Is it's an ice accumulation area in my opinion, if they have enough sales to support that, my best talks and crypto picks.
NEUT11|Are in the Patreon page in the link below.
NEUT12|Feel free to leave me a message on this video with your tradingview username if you want a seven day trial for the indicators that I use, I think there are some of the best in the market, so if they help you make nice profits then you can consider buying them.
NEUT13|It's a one time payment and include lifetime access and unlimited updates.
NEUT14|They work even with a free trading view account, but if you want to have a paid account with all those tradingview benefits then you get $30 back.
NEUT15|If you register using the referral link below, also make sure to check my Udemy courses about trading the financial markets, how to set up a trading bot, how to buy and transfer Bitcoin, how to use technical analysis and 100 X leverage and also while coin review and price analysis the most secure Bitcoin exchanges that I use have links in the description below.
NEUT16|That being said, don't forget to like this video and subscribe to this channel for more huge upside potential stocks.
BULL17|I wish you many profitable trades.
NEUT18|We need also to make a disclaimer and risk warning, trading and investing in the stock market and cryptocurrencies involves substantial risk of loss and is not suitable for every investor.
NEUT19|The content cover in this video is not to be considered an investment advice.
NEUT20|I'm not a financial advisor.
NEUT21|Nothing in this video should be considered as a recommendation to buy or sell stocks, futures, forex, crypto currencies, ETF, CFD's or commodities, data and information provided is for educational and informational purposes only.
NEUT22|Do your own research before investing.
NEUT23|Gold trading strategies are used.
NEUT24|"At your own risk."""
