NEUT0|"""Second, how about Lisa?"
NEUT1|So the brilliancy of AMD today, the CEO of Intel Bob Swan, losses job not long after being promoted from the CFO spot, the board replaced him with very good old Intel hand was bit of VM Ware, Pat Kelsier, and it could be good as much as Intel needs to change.
BEAR2|What matters here is that you're now getting a chance to buy entails more agile driver AMD down more than 3 bucks for something that may not even happen a turn at Intel within the next three years.
BULL3|Hey, Gelser did good job of VM Ware, but Intel.
NEUT4|Doesn't really need an older Intel hand, it needs someone new young hungry who can shake up the culture is not blow it up entirely.
BULL5|Short of that, I'd much rather buy the stock of a company that's beating Intel to a pulp AMD under Lisa Su's incredible leadership.
NEUT6|They've gone from an also ran semiconductor, always second fiddle to Intel to being the one that makes better chips.
NEUT7|Oh, and look out if NVIDIA is allowed to buy ARM Holdings.
NEUT8|That may relegate until the permanent second tier status.
NEUT9|Don't miss a second of mad money.
NEUT10|Follow at Jim Cramer on Twitter.
NEUT11|Have a question?
NEUT12|Tweet Cramer hashtag mad tweets send Jim an email to mad money at cnbc.com or give us a call at one 807 four three CNBC Miss something Ed to madmoney.cnbc.com.
NEUT13|Shepard Smith here.
NEUT14|"Thanks for watching CNBC on YouTube."""
