NEUT0|"""We're going to analyze Shopify as an investment and we're going to do it all in 90 seconds."
NEUT1|You want to keep up a stock split on the time to read a lengthy report on every company that interests you.
BEAR2|You're busy.
NEUT3|I get it.
NEUT4|I respect that.
NEUT5|So I took the most important considerations for my research impact into 90 seconds.
NEUT6|You can use this to decide if it's worth your time to research further to keep up with stocks you already own or to just check in with some of the largest companies in the world to vote on which companies will cover next, go join our private Facebook group.
NEUT7|The link is in the description.
NEUT8|Fair warning.
NEUT9|I'm obviously going to fast, so adjust your playback speed now as needed.
NEUT10|Let's put a Clock.
NEUT11|Let's do this.
NEUT12|Shall fly Corporated provides a cloud based multi channel ecommerce platform for small and medium businesses worldwide.
NEUT13|As of this recording, Shopify has a market capitalization of $17 billion in a price per share of around $160 to own or not to own.
NEUT14|That is the question.
NEUT15|Here are several reasons you might want to consider owning Shopify.
BULL16|Shopify's revenue for its individual business segments grew a decent amount in Q2 2018.
BULL17|Merchant Solutions revenue grew by 68% year over year, and subscriber solutions grew by 55% year over year.
BULL18|It's also worth noting that gross merchandise volume GMV grew by 56%, which was the primary driver for.
BULL19|Personal solutions, positive revenue.
BULL20|A future potential catalyst is a possible benefit from increasing legalization of marijuana as a case study.
NEUT21|Ontario Cannabis Retail Corporation just chose Shopify's platform to sell cannabis online.
BULL22|For Shopify, Ontario is estimated to contribute $480,000 to high margin revenue.
NEUT23|They clearly have the potential to be a vital merchant for Shopify, but here are some reasons to not own Shopify.
BEAR24|Investors are concerned with the growth deceleration from 2015 to 2018 in terms of annual revenue, Shopify posted a 95% annual growth in 2015 and a 90% annual growth in 2016.
BULL25|And a mere 73% annual growth in 2017.
BEAR26|Also, Shopify's top line has had a similar decline quarter over quarter top line sales in Q 2017 were up 75% over the same quarter of the previous year, but they were only up 61% during the same quarter in 2018.
BEAR27|Although the numbers are positive, the data seems to suggest that Shopify is peaking.
BEAR28|In addition, the overall business is still losing money.
BULL29|In Q 2018, Shopify Widen the gap of net income losses to $24 million compared to last year's loss of $14 million.
NEUT30|So what do you say?
NEUT31|Bye or no?
BULL32|Can Shopify regain its momentum and prove that its premium share price is justified?
NEUT33|I look forward to continuing this discussion in the comments below, and if you found this helpful and would like to see more of these 92nd analysis videos, don't forget to check out our private Facebook group.
NEUT34|Like this video?
NEUT35|Subscribe and click the notification Bell so that you can keep up with all the companies we cover.
NEUT36|As we continue to help you build your rapidly growing, highly diversified net worth, I'll see in the next video.
NEUT37|"Take care."""
