BULL0|"""Hello everybody, welcome to Ohio Summer finance."
BULL1|Great see you, all of you here and welcome.
NEUT2|Welcome to our channel.
NEUT3|But before starting I just want to say that if you like our videos, give us a big thumbs up.
NEUT4|And don't forget to subscribe to our channel, turn the post notifications on to get notified when well plada.
NEUT5|Latest stock news and also.
NEUT6|Before starting, I shouldn't say that I'm not a financial advisor and my videos are not any kind of financial advice, so go and do your own research and invest in your own risk.
NEUT7|My videos are only for entertainment purposes only, and I'm not responsible for any losses you make.
NEUT8|Yeah, no holding Corp ticker symbol is DRNK and the stock is currently trading at 0.005 dollars and it is 183% today.
NEUT9|This singer, like about Penny stocks, is that there's really, really good investments by because.
NEUT10|There are penny stocks right there.
BULL11|Stock prices really love their market cap is really low, so if it increases your investment also will be good.
BULL12|Your investment portfolio will have a lot of increase.
NEUT13|And penny stocks and the stock prices increase fast like they're only $0.05 an imagine that if you invest $1000 in a company, which stock is $0.03?
NEUT14|And if it becomes after it comes $1.00 you will have huge huge just profit from that stock.
NEUT15|Here's why I like missing in penny stocks and one day.
NEUT16|Looks like this in the stock price today doubled like it's 2.5 times more.
NEUT17|As you can see from 0002 from 0005 and also five day.
NEUT18|Is just 00021 month prior.
NEUT19|We have nothing and.
NEUT20|I let's go to Yahoo Finance to exactly or clearly see what we have.
NEUT21|As you can see, market cap is 2,000,000 dollars $2.6 million and we have your volume average volume.
NEUT22|So PPE ratio is not acceptable for this stock and I could only found find this on Google for you.
NEUT23|I researched yet know how incorporation it is a drink company and which is in United States.
NEUT24|And its headquarters in Arizona.
NEUT25|And the date it was founded.
NEUT26|And I also I could find their Twitter account.
NEUT27|Yet as you can see from Twitter, they're drinking company or drink company and know how a premium lifestyle beverage.
NEUT28|Yeah, no hold drink.
NEUT29|An on their Twitter website you can see the news they have.
NEUT30|You should follow it and if you want to keep up the news they have for the company, so we have here now to engage in asset purchase agreement with Cinobac.
NEUT31|But it is old, it's from 2020 so I won't read it for you.
NEUT32|And let's go back to just stock chart.
NEUT33|And yeah, that is it.
NEUT34|Thanks for watching my video.
NEUT35|"I see on next videos."""
