BULL0|"""There were some spectacular number of new buyers and then I have to tell you I."
NEUT1|While I think I always know this industry, this repeat rate metric seemed to be really a great way to analyze us.
NEUT2|Yeah, we're actually.
NEUT3|It's funny we had a call this morning with about 200 of our manufacturing associates and we were going through that and that was one of the metrics that I shared with them.
NEUT4|The fact that we have a repeat rate of 70%.
NEUT5|It's a tribute to the fact that we know how to make great tasting quality snacks.
NEUT6|And that's why once we get him into the hands of customers and consumers, they're coming back and buying them again and again.
NEUT7|And so it's it's.
NEUT8|It's a true story and you know, stating true story to just our quality, the consumers love it.
BULL9|They keep coming back if we keep doing what we've been doing for a very long time, and we're very good at it, I think it will continue.
NEUT10|And now I have always been a fan of PepsiCo for many years.
NEUT11|Cause of Frito lay and they have a better for you segment and they've got great stuff but when it comes to something it thank you for sending it to us that is better for you that is better tasting these Boulder products and good health positively snackable products.
BULL12|I think you've got some real winners.
NEUT13|Yeah, yeah, I mean, there's a definite movement, you know in the industry for people who want to have that choice between having something that's made foundationally with better, you know, product attributes like the avocado oil.
NEUT14|That's a that's in the Boulder Canyon, potato chips, and that brand.
NEUT15|You know, we bought that brand in 2017 and were long term thinkers.
NEUT16|It took 2018 with some renovation with some product quality attributes with some branding.
NEUT17|And now in 2020.
BULL18|The brand grew 40% and it continues to grow.
NEUT19|We've got a lot of excitement around those.
NEUT20|Better for you brands.
NEUT21|Don't miss a second of mad money.
NEUT22|Follow at Jim Cramer on Twitter.
NEUT23|Have a question?
NEUT24|Tweet Cramer hashtag mad tweets send Jim an email to mad money at cnbc.com or give us a call at one 807 four three CNBC Miss something Ed to madmoney.cnbc.com.
NEUT25|Shepard Smith here.
NEUT26|"Thanks for watching CNBC on YouTube."""
