NEUT0|"""Neo stock analysis and predictions, December 9th."
NEUT1|In today's NEO stock analysis and predictions, why NIO is down today?
BULL2|Alright, let's get started Anio experienced a 12% increase in the past two day due to delivery and expansion forecasts towards Europe and other territories.
BEAR3|Today, NIO has slipped 2.70% as of 10:00 AM this morning, but why?
NEUT4|It seemed like NIO is lumped in with its peers as they begin to sell shares to raise capital for bigger projects.
BEAR5|Shares of X pinging dropped Wednesday.
BULL6|After the China based electric vehicle makers upsized public share offering priced at a discount of nearly 8%.
BULL7|The company raised $2.16 billion in the offering as it sold 48 million American depositary shares ADS at $45 per ADS expen XP v -- 5.64% had previously expected to sell 40 million adds to the public, and the pricing was 7.6% below Tuesday's closing price of $48.69.
BEAR8|The stocks slumped six point, 1% in morning trading.
BEAR9|It had bounced zero point 8% on Tuesday to snap a three day losing streak in which it shed 13.8%.
BULL10|Expen could sell up to an additional 7.2 million shares if the underwriters of the offering exercise all of the options granted to cover over allotments that could boost what explain raises to roughly $2.5 billion.
NEUT11|The proceeds will be used for research and development of expand smart TV's sales and marketing potential.
NEUT12|Strategic investments in general corporate purposes.
BEAR13|In addition, Lee Autos is also selling off shares to raise capital for bigger project investments, leaving the stock to tumble 5% as of Wednesday morning.
BEAR14|Thus, once again, an iOS stock price is down, not because of any of its fundamentals or business practices.
BEAR15|It is down due to the behavior of its peers.
BEAR16|People seem to lump the three together even though Nio is clearly ahead of both in terms of stability cash reserves.
NEUT17|And deliveries for investors.
BULL18|They should hold long as NIO stock will surely bounce back after X pinganli auto sell offs are complete.
NEUT19|That's what's been happening this week in the world of NEO stock analysis and predictions.
NEUT20|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you in your business on the leading edge of NIO stocks and predictions.
NEUT21|If you enjoyed this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL22|Would really appreciate it.
NEUT23|Are you still watching and want more?
NEUT24|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
