BULL0|"""Hello everyone and welcome to an art of things to know special in."
NEUT1|This video will be talking about Carnival Corp or the TCO stock and the reason why we're doing this video is because of the big news that happened today and basically Pfizer drove the whole market up with the news that they have a candidate of 90% effective vaccine for the COVID-19 crisis.
NEUT2|So let's see how this is going to play out.
NEUT3|We definitely believe that no matter how well this is, this is not going to play.
NEUT4|As well as we believe, and that's why we decided to put some money in the reason why is because we've been trading basically the Royal Caribbean or Arceo stock for awhile.
NEUT5|We did make a good profit and we're happy and that's why we're currently selling both Carnival Corp and Royal Caribbean Stock and we're actually showing you the reason why we're doing this is because it was absolutely abnormal.
NEUT6|The movement which you can see here within one day moving 32%.
NEUT7|Like Royal Caribbean, the same for Carnival Corp.
NEUT8|They basically are closed down all their crisis until the end of the year and nothing is happening and therefore it's absolutely not normal to have 32% going up with saying that the vaccine.
NEUT9|Is working the 'cause it is working however they have to continue doing trials and more information and there still getting to approval and we have a very long process.
NEUT10|These guys are not working at the moment and there is absolutely no reason why this talk should be going up and that's why we believe that we have made the right choice with ourselves.
BULL11|Order will see in couple of days we already made good profit on this news for.
NEUT12|Buying the Royal Caribbean and we got over 40% and now we situated ourselves with selling these stocks.
NEUT13|Let's see how this goes.
NEUT14|This is not a financial advice in any kind of way.
NEUT15|You have to understand this and we have done our own research due diligence and never put money that you're not OK to afford to lose.
NEUT16|So this is trick in this game also followed news.
NEUT17|Obviously if enjoyed watching and listening to this video.
NEUT18|Please hit the subscribe button.
NEUT19|Also the like one and all.
NEUT20|"Seeing the next one bye."""
