NEUT0|"""Neo stock analysis and predictions, January 12th."
NEUT1|In today's NEO stock analysis and predictions for banks raise an iOS price target.
BULL2|Alright, let's get started since NIO launched its Premier sedan with a maximum range of 1000 kilometres on Nio Day four banks has since raised an iOS price target, China's top investment banks, Eicc has raised their price target by 42% to 85%.
BULL3|CI CC remains that NIO is a strong buy with outperform rating.
BULL4|According to CICCNIOZ, T7 further expands the company's vehicle repertoire and will be a strong challenger for Tesla's China made vehicles in future.
BULL5|Deutsche Bank raised their price target from $50 to $70.00, saying that NIO provided customers an investor, a bold road map for the next two years, which includes a new sedan and a high powered 150 kilowatt hours battery.
BULL6|Bank of America raised their price target to $70.00 in.
BULL7|JP Morgan raised their price target to $75.
BULL8|NIO is still expected to hit record highs this year's back.
BULL9|Orders for their new ET 7 equal up to 40,000 alone.
NEUT10|That's what's been happening this week in the world of Neo.
NEUT11|Stock analysis and predictions.
NEUT12|If you haven't subscribed yet, make sure you click the subscribe button at the bottom right and subscribe to financial health right now so that next week you'll get the inside scoop on the latest developments to keep you and your business on the leading edge of NIO stocks and predictions.
NEUT13|If you enjoyed this edition of NEO stock analysis and Predictions, Leave a comment and please hit the like or share button.
BULL14|We'd really appreciate it.
NEUT15|Are you still watching and want more?
NEUT16|"Check out last week's NEO stock analysis and predictions by checking out our Neo playlist."""
