BULL0|"""Well, you have been totally candid."
NEUT1|We've lined up all the different phases.
NEUT2|The phases do matter and the phasing.
NEUT3|It costs money, but the same time, you've been very conservatively managed.
BULL4|I feel confident that you have the money to go down these phases.
NEUT5|Thank you well, you know as I think what separates us from a lot of what we see out there.
NEUT6|And as you know and I'm sure you're going to talk about plenty, this is a new gold rush, right?
NEUT7|Whether it's gold rush, railroads, Internet, everybody can kind of look around and just see the scale of capital coming to the electrification, I think it's, you know, pretty much fake complete that this is happening.
BULL8|What's great about our company though, is that you know we're profitable today.
NEUT9|We just in our early stages we, you know, we're a large player and then we're profitable.
BULL10|And yet we have this tremendous opportunity to move downstream to continue to grow the business.
BULL11|You know, from from a profitability standpoint, reduce our volatility and then also just, you know, as we as we continue to transform, we have this unique opportunity where we're a picks and shovels play on this opportunity.
NEUT12|And so I think that you know, my expectation is.
BEAR13|It may be unfortunate to say, but probably 80 to 90% of the companies that are out there today, trying to benefit from this boom will will go bankrupt or consolidate, as is the natural life cycle and.
BULL14|You know we'll be well positioned with the upside in the years to come, but also as a platform to kind of, you know, continue to be a key player in this movement.
NEUT15|Don't miss a second of mad money.
NEUT16|Follow at Jim Cramer on Twitter.
NEUT17|Have a question?
NEUT18|Tweet Cramer hashtag mad tweets send Jim an email to mad money at cnbc.com or give us a call at one 807 four three CNBC Miss something Ed to madmoney.cnbc.com.
NEUT19|Shepard Smith here.
NEUT20|"Thanks for watching CNBC on YouTube."""
