NEUT0|"""What's up guys?"
NEUT1|This might be crypto here for another one minute crypto video.
NEUT2|Happy to announce the Vechain Giveaway winner at the end of this video smash that like Button.
NEUT3|If you want me to do another giveaway.
NEUT4|So Vechain's taking a lot of steps to help prevent covid.
NEUT5|So now that the world is starting to get vaccinated, people need to show proof that they are vaccinated and how are they doing that?
NEUT6|They're showing proof on their phones through covid vaccination passports so different companies have come in like IBM to help solve this problem.
NEUT7|To show proof of vaccinations.
NEUT8|So B chain has been super key to storing this information on the blockchain, so hospitals in Cyprus are already using the mobile apps to certify immunizations.
BULL9|That showed that patients have gotten the covid shot.
BULL10|Now a lot of hospitals have described this as a great step for the return to normalcy and also it shows that the health care industry is changing into a digital world via Vechain.
NEUT11|Now here in the States, the Covid vaccine passports are becoming a hot topic, with New York being the first state to launch a digital vaccine passport.
NEUT12|And what this means is that when you go to concert, you go to restaurants or bars.
NEUT13|Not only will they be scanning, your ID will be scanning your phone, which has your vaccination records on it to see whether you've had the kovit shot or a negative kovid result in the last 72 hours.
NEUT14|Now if you don't have this, some businesses can turn you away.
NEUT15|Now let's stop and think.
NEUT16|Imagine if these vaccine passports rollout across the world in Vechain is a part of that technology.
BULL17|We know that Vechain is mastering the supply chain category.
NEUT18|And what better company to use to help track vaccinations?
NEUT19|So Speaking of Vechain, I want to announce the Vechain Giveaway winner.
NEUT20|Congratulations to Molina rupen.
NEUT21|You are the winner of the Vechain giveaway.
NEUT22|Make sure to comment with your Vechain address below and we will send that straight to you.
NEUT23|I might be crypto.
NEUT24|Make sure to like subscribe and comment below.
NEUT25|"We're going to do another giveaway next week."""
