NEUT0|"""Hi guys, I'm Robin."
NEUT1|Welcome to mine incorporated.
NEUT2|Today you'll decide if Ultra stock is going to be part of your portfolio and make you lots of money or you will just swipe to the left.
NEUT3|Ultra was founded in Virginia in 1985.
NEUT4|Is a sin stock which means its core business revolves around smokeable products, wine and smokeless products such as weight.
BULL5|Though most of their revenue comes from the smokable tobacco products like cigars and cigarettes, which makes 85% of their total revenue the fastest growing business model.
NEUT6|Are there smokeless products like?
NEUT7|They also make a small amount of revenue for wine, but it's only around 1.5%.
NEUT8|This stock is also paying a huge dividend of 6.5%, but the best part of it is they only have a peer pressure 50%.
BULL9|So that means the dividend is likely to stay because they got enough cash to pay it out every quarter.
BULL10|Looking at the financials a bit, erasure's counted 13.37, which is pretty good earnings per share, or 3.68 dollars per share.
NEUT11|The PEG ratio is 1.29, which is also really close to that.
NEUT12|1.0 mark but the best tests are the profit margins, which stand at 35% and operating margins at almost 50%.
NEUT13|I usually like to buy companies with 50% operating and profit margins and with all traffic to just simply kill it.
BULL14|With these numbers, the most exciting thing about this talk, I believe it's a huge potential growth in the marijuana business.
NEUT15|Or she acquired a 45% stake in the Crown of stock, which is a cannabis production business.
BULL16|They're investing in developing a new cannabis product that can double or even triple the stock price because the marijuana market expected to grow so much with all the countries legalizing marijuana usage.
BEAR17|Though some may believe people the smoker declining.
NEUT18|I must say I still believe there will be always a stable amount of people in the world who will smoke.
NEUT19|I just can't imagine that one day everyone will stop smoking so that the reasons I'm invested in Altri group and would like to hear from you what you think of this stock.
NEUT20|"Subscribe now for all the new information about the stock market and leave a comment below until next time money incorporated."""
