BULL0|"""Hello friends."
NEUT1|This video is especially for my US friends.
NEUT2|I wanted to tell you all that.
NEUT3|Right now your market is touching the Sky.
BEAR4|I'm talking about this just yesterday, closing and all, but according to my calculation, the recent lows made.
NEUT5|I think in March there made some.
BEAR6|Lowe's these laws are going to be breached in this area itself.
NEUT7|IN2020 means I mean to say key the new low.
NEUT8|Will come in 2020.
NEUT9|For all the the you are all three and ISIS.
NEUT10|For the specific dates, you can join my group, but taking a deep look into this Mr. Trump's horoscope.
NEUT11|As for my knowledge of magic astrology, I'm not using anything on the Western astrology.
NEUT12|So it's Indian ancient science.
NEUT13|So looking deep into Mr. Trump's house book, The coming months and especially the election time is not good for him.
NEUT14|And one more interesting observation is that.
NEUT15|You are selections may get postponed or delayed.
NEUT16|As for my calculation, I don't see it happening on the same specific dates or something.
BEAR17|Something will happen, some some kind of disturbance will happen in your elections.
NEUT18|In my previous two years also I mentioned my some natural and man-made calamities, and other problems might occur in the recent.
NEUT19|Future, especially after the solar eclipse of 21st June and one more solar eclipse is coming and December last.
NEUT20|So this year.
NEUT21|This year 2020.
BEAR22|It's a rat Chinese right here it is started on a very bad node.
NEUT23|So on in January itself we have filled out and so I expert my calculation this year will add this year Bill and also on the very bad node.
NEUT24|So this is what I want to just convey you all because someone from US.
NEUT25|My few of my friends and followers and requested me please make this beautiful English so that other people also can interested in one more thing I want to tell you key we will if you join me in my group I will try to make some predictions on some top ten stocks also.
NEUT26|So in July I will give you some specific numbers.
NEUT27|Some specific numbers and labels for analysis and for top ten stocks of U.S. markets so that that will help you all in them.
NEUT28|Concluding, in the situation where is market is had in world market is heading and that can help you in election.
NEUT29|Also election outcome also you can.
NEUT30|Because of that, numbers and all.
NEUT31|So this all is a very explosive study.
NEUT32|My Mail ID is there in the my.
NEUT33|Details so you can please Mail me an All in all I I can say it's time is not good for markets an everything else also in USI don't feel so.
BULL34|"Thank you very much."""
