NEUT0|"""What's a famisha boy coach Cedric Zeba Zeeshan I'm introducing you again and again and again."
NEUT1|Oxygen OK.
NEUT2|So Lily woke up this morning and it was already up to about $14.00 and some change.
NEUT3|Now you guys know I put you on this play.
NEUT4|Probably like two or three weeks ago.
NEUT5|Can't really remember, but if you want to get the trade alerts make sure you click the link in the description box below.
NEUT6|It's writing a disc or is completely free.
NEUT7|All you have to do is just click the.
NEUT8|The tracker download section and you'll be able to have access to.
NEUT9|You could download.
NEUT10|You can do whatever you want with it.
BULL11|OK, today was a big inflection point for oxygen.
NEUT12|They accompany that their partner with his Bharat.
NEUT13|Basically, the global leader in vaccinations, OK, innovative vaccinations.
BULL14|And they already completed phase three trials for their COVID-19 vaccine.
NEUT15|An I could tell you this, it's already at 81% efficiency and Johnson and Johnson just passed their vaccine there one day, shot an that shot is 71% efficiency.
NEUT16|So this is like super news because oxygen will be distributing.
NEUT17|This particular vaccine to America, and that's why they're trying to raise their shares.
NEUT18|And also, why does vaccine super important?
NEUT19|We need more vaccines point blank, but this vaccine itself does not require it to be stored in extreme cold temperatures.
BULL20|That's right, so that means that it's going to save itself from vaccine waves up to about 30% big big news.
NEUT21|So that's why the stock rally today.
NEUT22|Now should you buy?
NEUT23|I don't think is that right now is a good opportunity to buy, but the price of the stock is very low where you can do a cash secured put.
NEUT24|OK an you can start off with you know one contract or a couple of contracts listen beginner or not you have the right to do options but you need to know how and when to exit.
NEUT25|So again if you're interested in that just come to the discord.
BULL26|We can kind of help you out on that process, but we're going to put you in the right direction as far as some resources.
NEUT27|If you want to do a cash that's casting here, put right now the stock itself is still trading kind of in a sideways manner because it just came from his little recent high, so I wouldn't buy in right now, especially since it's not hitting any of the moving averages.
NEUT28|Yeah, so just be patient right now and just watch the stock.
NEUT29|Put this on your watch list, and then at some point I will call out an opportunity for you guys to dollar cost average in.
NEUT30|Or maybe to do a leap alright?
NEUT31|"Hope this video was informative like subscribe Peace."""
