NEUT0|"""There are some."
NEUT1|There are very few people in the street.
NEUT2|Who actually do forecast consistently?
NEUT3|I think I know more.
NEUT4|And it will count on one.
NEUT5|Look at that stock.
BULL6|What a huge move we had in it were up 47% in one day.
NEUT7|We called the move here we stated that we thought that this could do real well that it was in a breakout move.
NEUT8|We called the low.
NEUT9|I said support could be 850 range we hit 832 or something like that.
NEUT10|So we're very very close to the low.
BULL11|Got a great execution here the next day.
BEAR12|Huge move to the upside ADC telecommunications being bought out by Tyco for 1271 or 1275.
NEUT13|A share an what.
BULL14|A huge move up 47% in one day.
NEUT15|Now this alone could have paid for a service several times over and you know this is what we bring to our members.
BEAR16|Breakout stocks.
NEUT17|I mean now everybody wonders whether you could tell whether a stock is going to break out or not, or if there's going to be great news.
NEUT18|Look at right here.
NEUT19|This is what you have here of long correction.
NEUT20|Move or continuation pattern here and then you see a break to the upside here and you could see the momentum that was really stepping in here.
NEUT21|So yes, you can figure this out ahead of time.
NEUT22|We not only can you, but we had done that for our members.
BULL23|An up 47%.
BULL24|So not only we've been calling this market market very accurately, but we've been creating an at least demonstrating some of these breakout opportunities.
NEUT25|For members, but the advantage that you have is you can get instant access.
NEUT26|Right now you will be able to see what we have to offer and let us show you the next breakout stock or market turn.
NEUT27|I'm going to be with you every step of the way and we could make trading easy.
NEUT28|Sign up now find out our next breakout stock.
NEUT29|"Happy trading."""
